sample.name,injection.order,batch,group,class
Peak area - S6_QCS_6 - No Normalization,105,0,1,0
Peak area - S7_QCS_1 - No Normalization,106,1,1,0
Peak area - S7_QCS_2 - No Normalization,107,1,1,0
Peak area - S7_QCS_3 - No Normalization,108,1,1,0
Peak area - S7_QCS_4 - No Normalization,110,1,1,0
Peak area - S7_QCS_5 - No Normalization,111,1,1,0
Peak area - S7_QCS_6 - No Normalization,112,1,1,0
Peak area - S8_QCS_1 - No Normalization,113,1,1,0
Peak area - S8_QCS_2 - No Normalization,114,1,1,0
Peak area - S8_QCS_3 - No Normalization,115,1,1,0
Peak area - S8_QCS_4 - No Normalization,117,1,1,0
Peak area - S8_QCS_5 - No Normalization,118,1,1,0
Peak area - S8_QCS_6 - No Normalization,119,1,1,0
Peak area - S9_QCS_1 - No Normalization,120,1,1,0
Peak area - S9_QCS_2 - No Normalization,121,1,1,0
Peak area - S9_QCS_3 - No Normalization,122,1,1,0
Peak area - S9_QCS_4 - No Normalization,124,1,1,0
Peak area - S9_QCS_5 - No Normalization,125,1,1,0
Peak area - S9_QCS_6 - No Normalization,126,1,1,0
