"name","mz","rt","Peak area - S10_GoatLiver_4 - Total Ion Count","Peak area - S10_QCS_1 - Total Ion Count","Peak area - S10_QCS_2 - Total Ion Count","Peak area - S10_QCS_3 - Total Ion Count","Peak area - S10_QCS_4 - Total Ion Count","Peak area - S10_QCS_5 - Total Ion Count","Peak area - S10_QCS_6 - Total Ion Count","Peak area - S11_ChickenLiver_3 - Total Ion Count","Peak area - S11_QCS_1 - Total Ion Count","Peak area - S11_QCS_2 - Total Ion Count","Peak area - S11_QCS_3 - Total Ion Count","Peak area - S11_QCS_4 - Total Ion Count","Peak area - S11_QCS_5 - Total Ion Count","Peak area - S11_QCS_6 - Total Ion Count","Peak area - S12_ChickenLiver_4 - Total Ion Count","Peak area - S12_QCS_1 - Total Ion Count","Peak area - S12_QCS_2 - Total Ion Count","Peak area - S12_QCS_3 - Total Ion Count","Peak area - S12_QCS_4 - Total Ion Count","Peak area - S12_QCS_5 - Total Ion Count","Peak area - S12_QCS_6 - Total Ion Count","Peak area - S13_ChickenHeart_5 - Total Ion Count","Peak area - S13_QCS_1 - Total Ion Count","Peak area - S13_QCS_2 - Total Ion Count","Peak area - S13_QCS_3 - Total Ion Count","Peak area - S13_QCS_4 - Total Ion Count","Peak area - S13_QCS_5 - Total Ion Count","Peak area - S13_QCS_6 - Total Ion Count","Peak area - S14_GoatLiver_5 - Total Ion Count","Peak area - S14_QCS_1 - Total Ion Count","Peak area - S14_QCS_2 - Total Ion Count","Peak area - S14_QCS_3 - Total Ion Count","Peak area - S14_QCS_4 - Total Ion Count","Peak area - S14_QCS_5 - Total Ion Count","Peak area - S14_QCS_6 - Total Ion Count","Peak area - S15_ChickenLiver_5 - Total Ion Count","Peak area - S15_QCS_1 - Total Ion Count","Peak area - S15_QCS_2 - Total Ion Count","Peak area - S15_QCS_3 - Total Ion Count","Peak area - S15_QCS_4 - Total Ion Count","Peak area - S15_QCS_5 - Total Ion Count","Peak area - S15_QCS_6 - Total Ion Count","Peak area - S16_ChickenLiver_6 - Total Ion Count","Peak area - S16_QCS_1 - Total Ion Count","Peak area - S16_QCS_2 - Total Ion Count","Peak area - S16_QCS_3 - Total Ion Count","Peak area - S16_QCS_4 - Total Ion Count","Peak area - S16_QCS_5 - Total Ion Count","Peak area - S16_QCS_6 - Total Ion Count","Peak area - S17_GoatLiver_6 - Total Ion Count","Peak area - S17_QCS_1 - Total Ion Count","Peak area - S17_QCS_2 - Total Ion Count","Peak area - S17_QCS_3 - Total Ion Count","Peak area - S17_QCS_4 - Total Ion Count","Peak area - S17_QCS_5 - Total Ion Count","Peak area - S17_QCS_6 - Total Ion Count","Peak area - S18_ChickenHeart_6 - Total Ion Count","Peak area - S18_QCS_1 - Total Ion Count","Peak area - S18_QCS_2 - Total Ion Count","Peak area - S18_QCS_3 - Total Ion Count","Peak area - S18_QCS_4 - Total Ion Count","Peak area - S18_QCS_5 - Total Ion Count","Peak area - S18_QCS_6 - Total Ion Count","Peak area - S1_ChickenHeart_1 - Total Ion Count","Peak area - S1_QCS_1 - Total Ion Count","Peak area - S1_QCS_2 - Total Ion Count","Peak area - S1_QCS_3 - Total Ion Count","Peak area - S1_QCS_4 - Total Ion Count","Peak area - S1_QCS_5 - Total Ion Count","Peak area - S1_QCS_6 - Total Ion Count","Peak area - S2_ChickenHeart_2 - Total Ion Count","Peak area - S2_QCS_1 - Total Ion Count","Peak area - S2_QCS_2 - Total Ion Count","Peak area - S2_QCS_3 - Total Ion Count","Peak area - S2_QCS_4 - Total Ion Count","Peak area - S2_QCS_5 - Total Ion Count","Peak area - S2_QCS_6 - Total Ion Count","Peak area - S3_ChickenLiver_1 - Total Ion Count","Peak area - S3_QCS_1 - Total Ion Count","Peak area - S3_QCS_2 - Total Ion Count","Peak area - S3_QCS_3 - Total Ion Count","Peak area - S3_QCS_4 - Total Ion Count","Peak area - S3_QCS_5 - Total Ion Count","Peak area - S3_QCS_6 - Total Ion Count","Peak area - S4_GoatLiver_1 - Total Ion Count","Peak area - S4_QCS_1 - Total Ion Count","Peak area - S4_QCS_2 - Total Ion Count","Peak area - S4_QCS_3 - Total Ion Count","Peak area - S4_QCS_4 - Total Ion Count","Peak area - S4_QCS_5 - Total Ion Count","Peak area - S4_QCS_6 - Total Ion Count","Peak area - S5_ChickenLiver_2 - Total Ion Count","Peak area - S5_QCS_1 - Total Ion Count","Peak area - S5_QCS_2 - Total Ion Count","Peak area - S5_QCS_3 - Total Ion Count","Peak area - S5_QCS_4 - Total Ion Count","Peak area - S5_QCS_5 - Total Ion Count","Peak area - S5_QCS_6 - Total Ion Count","Peak area - S6_GoatLiver_2 - Total Ion Count","Peak area - S6_QCS_1 - Total Ion Count","Peak area - S6_QCS_2 - Total Ion Count","Peak area - S6_QCS_3 - Total Ion Count","Peak area - S6_QCS_4 - Total Ion Count","Peak area - S6_QCS_5 - Total Ion Count","Peak area - S6_QCS_6 - Total Ion Count","Peak area - S7_ChickenHeart_3 - Total Ion Count","Peak area - S7_QCS_1 - Total Ion Count","Peak area - S7_QCS_2 - Total Ion Count","Peak area - S7_QCS_3 - Total Ion Count","Peak area - S7_QCS_4 - Total Ion Count","Peak area - S7_QCS_5 - Total Ion Count","Peak area - S7_QCS_6 - Total Ion Count","Peak area - S8_GoatLiver_3 - Total Ion Count","Peak area - S8_QCS_1 - Total Ion Count","Peak area - S8_QCS_2 - Total Ion Count","Peak area - S8_QCS_3 - Total Ion Count","Peak area - S8_QCS_4 - Total Ion Count","Peak area - S8_QCS_5 - Total Ion Count","Peak area - S8_QCS_6 - Total Ion Count","Peak area - S9_ChickenHeart_4 - Total Ion Count","Peak area - S9_QCS_1 - Total Ion Count","Peak area - S9_QCS_2 - Total Ion Count","Peak area - S9_QCS_3 - Total Ion Count","Peak area - S9_QCS_4 - Total Ion Count","Peak area - S9_QCS_5 - Total Ion Count","Peak area - S9_QCS_6 - Total Ion Count"
"773.6","773.6",666,"25.025814056396","6.1451425552368","6.2541851997375","5.9516015052795","6.0392990112305","5.9661049842834","5.9462647438049","21.391660690308","6.8068008422852","6.8464875221252","6.8512687683105","6.549488067627","6.5110306739807","6.5471911430359","23.223272323608","6.341007232666","6.1317367553711","6.3129115104675","6.4075131416321","6.4854254722595","6.3745160102844","62.86128616333","8.5268630981445","8.3602952957153","8.2364044189453","7.7256007194519","7.6810011863708","7.8749918937683","34.221778869629","7.8735160827637","8.079927444458","7.4444937705994","7.7640767097473","7.7626395225525","7.997944355011","35.910263061523","8.4322700500488","8.1754636764526","8.1203813552856","8.1559715270996","8.1172580718994","8.4230051040649","30.297420501709","7.4864664077759","7.6507964134216","7.4213781356812","7.5465397834778","7.3849921226501","7.484664440155","27.182348251343","6.4332051277161","6.4273366928101","6.2753715515137","6.2115902900696","6.2641472816467","6.2372627258301","47.363361358643","6.8958668708801","7.0966825485229","6.8528537750244","6.8975534439087","6.8954954147339","6.8831963539124","57.520069122314","7.5734748840332","7.2135090827942","6.9157881736755","6.8338360786438","6.6338133811951","6.8481760025024","56.683124542236","6.4980134963989","6.6254196166992","6.3544096946716","6.1661415100098","6.1440019607544","6.3125524520874","31.774091720581","6.7250056266785","6.6831111907959","6.7412490844727","6.3255968093872","6.3644556999207","6.0182981491089","31.598350524902","5.7922158241272","5.8083763122559","5.336362361908","5.528657913208","5.4199991226196","5.8728809356689","26.981653213501","6.9969091415405","7.2879724502563","7.0355105400085","7.3466119766235","7.3883833885193","7.3734035491943","28.229928970337","6.57093334198","6.8111982345581","6.469545841217","6.7928738594055","6.6591320037842","6.790783405304","45.033424377441","7.3932456970215","7.2499465942383","6.7956142425537","5.8135333061218","5.648090839386","6.0679473876953","30.351318359375","7.0346822738647","6.9527473449707","6.6005969047546","6.6946516036987","6.5059156417847","6.4471368789673","45.715030670166","6.7459444999695","6.8076243400574","6.5674266815186","6.4359254837036","6.4531021118164","6.5321769714355"
"774.68","774.68",666,"57.544025421143","8.751838684082","8.4782295227051","8.1745758056641","8.010479927063","7.9791188240051","8.1378650665283","40.714248657227","9.0695905685425","9.1654863357544","9.1977853775024","9.0374755859375","9.1308145523071","9.1854686737061","43.053127288818","8.9143686294556","8.6199808120728","8.54905128479","8.9726104736328","8.8062715530396","8.8007364273071","136.41635131836","11.985889434814","11.963346481323","11.282580375671","10.654468536377","10.363850593567","10.928157806396","68.290458679199","11.145463943481","11.121437072754","10.293419837952","10.550455093384","10.560968399048","11.043477058411","62.65718460083","11.172845840454","11.220630645752","10.913501739502","11.15479183197","11.219792366028","11.526093482971","55.422763824463","10.858693122864","11.10968875885","11.246992111206","11.33633518219","11.175373077393","11.104482650757","59.629337310791","9.3464431762695","9.3092603683472","8.9649696350098","9.0668134689331","9.1752119064331","9.0226593017578","103.53517913818","10.04478263855","10.305626869202","10.201754570007","10.594902038574","10.564625740051","9.9548416137695","127.89189147949","11.036313056946","10.98016166687","11.127265930176","10.851323127747","10.915933609009","10.652727127075","131.77749633789","10.414900779724","10.210157394409","10.506379127502","9.8758707046509","9.8735103607178","10.00232219696","72.572410583496","10.660051345825","10.448706626892","10.443360328674","9.6989297866821","9.5831871032715","8.943000793457","81.729286193848","8.7970561981201","8.9437866210938","8.3186645507812","8.3467493057251","8.1684665679932","8.6105871200562","55.37788772583","10.444019317627","10.608072280884","10.14152431488","10.453549385071","10.550097465515","10.563803672791","68.439643859863","10.089974403381","10.247347831726","9.7166271209717","10.400725364685","10.30425453186","10.151924133301","95.094261169434","9.9399099349976","10.133109092712","9.1188106536865","8.176381111145","8.1782398223877","8.4259147644043","66.169090270996","9.8040370941162","9.5444660186768","9.1582355499268","9.2314825057983","8.9434051513672","9.0459699630737","99.78205871582","9.2001314163208","9.3221101760864","8.8176345825195","8.6500177383423","8.7235956192017","8.8041849136353"
"780.6","780.6",666,"41.792591094971","7.2266330718994","7.1749606132507","6.8700408935547","6.9176716804504","7.0977082252502","6.9702949523926","39.269943237305","7.8366250991821","7.9165945053101","7.6214556694031","7.5601196289062","7.5091142654419","7.7733669281006","44.343082427979","8.0414085388184","7.9264192581177","7.2620396614075","7.4624586105347","7.3382620811462","7.9435482025146","130.25105285645","8.5717868804932","8.2454061508179","7.7797775268555","7.2831802368164","7.1855583190918","7.4007754325867","45.119438171387","7.4889798164368","7.4233498573303","6.9353303909302","7.187171459198","7.139919757843","7.2577629089355","57.162315368652","8.1578531265259","8.3854112625122","7.8944292068481","8.0729246139526","8.0167016983032","7.9929399490356","48.159027099609","7.0995235443115","7.2940559387207","7.0953774452209","7.0016384124756","6.9784364700317","7.2328658103943","48.336715698242","7.2937388420105","7.0403356552124","6.7647695541382","6.9167222976685","6.7834129333496","7.0474681854248","89.463874816895","8.1209011077881","8.3415966033936","7.9499325752258","7.9083843231201","7.6868147850037","7.8746385574341","118.23718261719","7.9049468040466","7.6640477180481","7.5391821861267","7.2300505638123","7.0920438766479","7.2965316772461","121.11859130859","7.0545239448547","7.1709432601929","7.0088229179382","6.7055172920227","6.737352848053","7.0276398658752","74.510437011719","7.6474571228027","7.4908065795898","7.6402363777161","6.7989096641541","6.9169297218323","6.7177886962891","57.312160491943","6.8492946624756","7.040961265564","6.8579111099243","6.5765829086304","6.463499546051","7.1093897819519","55.106163024902","7.9215068817139","8.258939743042","7.5880513191223","7.9726829528809","8.0205297470093","8.1445169448853","48.437385559082","6.9239950180054","7.2766823768616","6.7395315170288","7.0698103904724","6.9580311775208","7.1257042884827","88.537200927734","7.9053511619568","7.8030352592468","7.1394467353821","6.4977235794067","6.3440480232239","6.5907559394836","54.942947387695","7.793643951416","7.6927089691162","7.3596363067627","7.354368686676","7.2306237220764","7.2894072532654","88.910362243652","7.0289778709412","7.122926235199","6.910454750061","6.9581518173218","7.2558827400208","7.0751791000366"
"781.5","781.5",666,"24.914869308472","7.0885396003723","7.0341811180115","6.6519327163696","6.5212469100952","6.4757413864136","6.7226147651672","26.348873138428","8.0163764953613","7.8979525566101","7.5216522216797","7.492383480072","7.414176940918","7.6970291137695","27.556192398071","7.5667295455933","6.9663591384888","6.8951606750488","6.9385032653809","6.6953444480896","6.867299079895","83.204574584961","12.040159225464","12.134056091309","11.615414619446","10.137804985046","9.796895980835","10.681479454041","29.712642669678","11.0955991745","10.963479042053","9.5548334121704","9.3726024627686","9.4400434494019","10.010143280029","37.862289428711","11.570931434631","11.478633880615","10.799572944641","10.328524589539","10.380620956421","10.989128112793","31.854038238525","7.5134582519531","7.5530767440796","7.2586393356323","7.3001003265381","7.3340849876404","7.458815574646","26.892955780029","7.5917100906372","7.5147666931152","7.1388120651245","7.1022186279297","7.1647758483887","7.2789497375488","49.90408706665","8.4203128814697","8.7663240432739","8.2057886123657","8.0231065750122","8.1562671661377","8.2511310577393","65.407371520996","9.6821546554565","9.4400587081909","9.5510416030884","9.2553119659424","9.1458406448364","8.8247108459473","67.319473266602","8.4728488922119","8.7544002532959","9.1384077072144","8.6629524230957","9.1095809936523","8.5062561035156","44.321807861328","8.6498908996582","8.6965379714966","9.2587480545044","8.4785165786743","8.5212268829346","7.7294125556946","32.839435577393","6.7567667961121","6.8473944664001","6.568455696106","6.4115009307861","6.5084891319275","6.6278223991394","35.188850402832","7.6920113563538","7.9953088760376","7.4788398742676","7.7133817672729","7.9760360717773","8.0074319839478","30.887865066528","7.3901109695435","7.5078811645508","7.2536110877991","7.6933479309082","7.7372298240662","8.0987377166748","49.435733795166","8.5413789749146","8.4590244293213","7.6119999885559","6.7396693229675","6.6918058395386","7.0734214782715","29.733516693115","8.0564603805542","7.7884359359741","7.4412198066711","7.2950553894043","7.059121131897","7.222704410553","49.715721130371","7.8350563049316","7.94309425354","7.4745106697083","7.413236618042","7.5661959648132","7.6271710395813"
"782.55","782.55",666,"79.565826416016","7.059232711792","6.981162071228","6.7640075683594","6.5903739929199","6.5295486450195","6.6817383766174","56.86011505127","8.0708627700806","8.0557193756104","7.8255472183228","7.5552134513855","7.2946882247925","7.8002419471741","55.573387145996","7.7248096466064","7.1806969642639","6.5582904815674","6.9731087684631","6.6005449295044","7.055615901947","234.45124816895","9.1116371154785","9.1300163269043","8.9481410980225","8.1410808563232","7.7969589233398","8.1121025085449","97.353370666504","8.3635711669922","8.441349029541","7.5685176849365","7.4351620674133","7.4123501777649","8.0323610305786","74.798515319824","9.7988910675049","9.4422559738159","8.890830039978","8.8495044708252","8.7033882141113","9.1102952957153","64.914306640625","6.9049386978149","7.0303468704224","6.6556210517883","6.6390299797058","6.5895047187805","6.9020972251892","81.218902587891","7.1785197257996","7.039409160614","6.7593455314636","6.9123287200928","6.8952860832214","6.9184947013855","146.14320373535","7.9729933738708","8.254204750061","7.839629650116","7.6983032226562","7.8132543563843","7.7104806900024","208.97471618652","8.632661819458","8.1858701705933","8.019775390625","7.640814781189","7.3105487823486","7.3872036933899","209.64050292969","7.1845860481262","7.1013021469116","7.2423439025879","7.0248355865479","7.1440544128418","7.1452317237854","118.83546447754","7.9285597801208","7.6389441490173","8.1324138641357","7.2185869216919","7.1125011444092","6.8343539237976","118.82400512695","6.7267098426819","6.667085647583","6.2637896537781","6.2009205818176","6.4165024757385","6.6493935585022","85.965690612793","7.8492016792297","8.2612447738647","7.7570362091064","7.9192032814026","8.2286329269409","8.0912027359009","93.399421691895","6.7109775543213","6.8037576675415","6.4209494590759","6.7793207168579","6.7676229476929","6.8866472244263","155.04588317871","8.0787515640259","8.0258378982544","7.2258725166321","6.3842325210571","6.2187213897705","6.7707591056824","91.345993041992","7.8289279937744","7.2955403327942","6.9346203804016","6.8935160636902","6.6594896316528","6.7957844734192","151.80982971191","7.4484357833862","7.4249963760376","7.1993765830994","7.1480321884155","7.1653203964233","7.224365234375"
"783.6","783.6",666,"41.039436340332","6.7439661026001","6.6488485336304","6.4896016120911","6.1663775444031","6.1417899131775","6.3086724281311","34.752437591553","7.7502241134644","7.8288812637329","7.6179990768433","7.6238207817078","7.3117742538452","7.604546546936","32.529846191406","7.6857070922852","7.2835302352905","6.8873763084412","7.1111907958984","7.0074901580811","7.4507169723511","110.11611175537","7.6922888755798","7.6147437095642","7.5633659362793","7.0376920700073","6.8768634796143","6.9227204322815","53.942687988281","6.9029517173767","7.2977395057678","6.5961098670959","6.6086740493774","6.75981092453","7.218062877655","46.917137145996","8.1673421859741","8.2199935913086","7.8115992546082","7.8846483230591","7.8539366722107","7.9828906059265","37.566638946533","6.9887957572937","6.9855942726135","6.8802719116211","6.7928156852722","6.7352051734924","6.8881907463074","43.889350891113","7.0744533538818","6.9640407562256","6.5551328659058","6.5717000961304","6.6832346916199","6.6911664009094","75.279541015625","7.8428840637207","8.0711450576782","7.4891681671143","7.4745197296143","7.5160636901855","7.5956335067749","118.07082366943","7.6859083175659","7.5186796188354","7.6183390617371","7.1504926681519","6.9525146484375","7.0870914459229","109.96682739258","6.967435836792","6.9990067481995","6.959255695343","6.6711688041687","6.754499912262","6.6631398200989","62.034900665283","6.7874698638916","6.7428250312805","7.0103211402893","6.1652994155884","6.1711254119873","6.113251209259","60.912693023682","6.048595905304","6.061505317688","5.7380938529968","5.8010139465332","5.6638326644897","6.2001452445984","49.222965240479","8.107138633728","8.278977394104","7.8153710365295","8.0410108566284","7.9134187698364","8.3017892837524","52.921817779541","6.963517665863","7.2987294197083","6.7307605743408","6.9390726089478","7.0162529945374","7.0071458816528","79.755699157715","7.8838591575623","7.7224025726318","7.0552048683167","6.1743025779724","6.2161226272583","6.2642135620117","49.91251373291","7.3455920219421","7.0378165245056","6.8506093025208","6.8213324546814","6.5685486793518","6.6445455551147","76.91650390625","7.0044283866882","7.0909171104431","6.6613545417786","6.6749620437622","6.8690586090088","6.8164100646973"
"784.6","784.6",666,"47.450035095215","8.6572799682617","8.2675790786743","8.1470994949341","7.7537322044373","7.491238117218","7.6956462860107","32.148574829102","9.3910999298096","9.3076229095459","8.9544677734375","8.7483520507812","8.8197755813599","9.1728382110596","29.29132270813","10.159733772278","9.0106525421143","8.1272478103638","8.0345773696899","7.9536752700806","8.6385374069214","83.599388122559","7.5988597869873","7.5437827110291","7.4843406677246","6.8443179130554","6.7191834449768","6.6293363571167","53.753093719482","7.028829574585","6.9212498664856","6.3691534996033","6.5850353240967","6.4249405860901","6.7048478126526","41.731178283691","8.1380500793457","7.9951753616333","7.8765912055969","7.7604575157166","7.8883318901062","8.2369585037231","33.970333099365","7.8413300514221","7.9391956329346","7.7292580604553","7.3447599411011","7.0714869499207","7.7199859619141","48.984195709229","7.7105374336243","7.4892730712891","7.3193182945251","7.1404256820679","7.3825669288635","7.2372364997864","62.805072784424","8.2933654785156","8.6676826477051","8.3039197921753","7.9370188713074","8.0648403167725","8.2094011306763","104.06594085693","7.7186532020569","7.5523509979248","7.5149645805359","7.1124153137207","6.9496669769287","7.3119487762451","94.217727661133","7.1545052528381","6.9531450271606","6.5700392723083","6.1499819755554","6.081268787384","6.4811792373657","50.191219329834","7.3450880050659","7.3515410423279","7.2562470436096","6.4903221130371","6.3425817489624","6.4239296913147","72.384071350098","7.6052742004395","7.5068035125732","6.8249254226685","6.9740257263184","7.0274639129639","7.5266151428223","42.243282318115","9.4173793792725","9.6402778625488","9.3409996032715","9.0454683303833","9.0725927352905","9.2422475814819","59.453266143799","7.367648601532","8.0273694992065","7.0414028167725","6.8404793739319","7.0325441360474","6.9136648178101","70.111381530762","9.1468439102173","9.2001924514771","8.2089958190918","6.64453125","6.5876388549805","7.197566986084","54.074058532715","7.9995703697205","7.7661561965942","7.3263206481934","7.2673988342285","6.9422926902771","7.0703511238098","63.344562530518","7.7223782539368","7.9190874099731","7.6208629608154","7.5930705070496","8.1039190292358","7.2780842781067"
"785.6","785.6",666,"26.044509887695","7.8064122200012","7.4388890266418","7.0247402191162","6.8462476730347","6.6696281433105","6.6973285675049","20.238967895508","8.433856010437","8.221212387085","7.7841482162476","7.7220778465271","7.863356590271","8.0679931640625","20.328319549561","8.7736806869507","8.2110462188721","7.5085706710815","7.5919570922852","7.6535487174988","8.0940036773682","47.760444641113","7.455409526825","7.1859831809998","7.1958994865417","6.6590700149536","6.5896611213684","6.5527029037476","30.176811218262","6.761926651001","6.8145227432251","6.4324674606323","6.3317975997925","6.6181440353394","6.6485738754272","26.659465789795","7.684018611908","7.64111328125","7.4077076911926","7.4133687019348","7.4725408554077","7.725471496582","22.772294998169","7.0420651435852","7.4080791473389","7.2273659706116","7.0136413574219","6.8456606864929","7.2731618881226","27.29736328125","7.367133140564","7.1657843589783","7.0267481803894","6.9439344406128","7.0432353019714","7.0920577049255","38.462593078613","8.1341428756714","8.3164548873901","7.9844884872437","7.6411790847778","7.7111043930054","8.0128965377808","50.876667022705","7.6029720306396","7.4425392150879","7.2402606010437","6.8666210174561","6.7683119773865","7.2212381362915","50.275009155273","7.1502022743225","6.9694857597351","6.670759677887","6.2222104072571","6.3093361854553","6.7286653518677","29.41277885437","6.6463966369629","6.762800693512","6.8124570846558","5.9564819335938","5.9858055114746","6.0678563117981","37.351051330566","6.7200655937195","6.7321710586548","6.2420930862427","6.2408709526062","6.2279858589172","6.5840973854065","27.254016876221","8.2812423706055","8.4549531936646","8.1738862991333","8.0086841583252","8.1289358139038","8.3231792449951","34.026542663574","7.2077684402466","7.6695504188538","6.9501996040344","7.0626463890076","7.0909748077393","7.1011905670166","40.719722747803","8.2170515060425","8.2275419235229","7.4855017662048","6.3463077545166","6.3501877784729","6.5468311309814","29.988838195801","7.7415385246277","7.2430810928345","7.0806164741516","6.9507813453674","6.7822022438049","6.8522038459778","38.292671203613","7.3705348968506","7.4321503639221","6.9968061447144","7.128867149353","7.3027238845825","7.0230927467346"
