"","Peak area - S10_GoatLiver_4 - No Normalization","Peak area - S10_QCS_1 - No Normalization","Peak area - S10_QCS_2 - No Normalization","Peak area - S10_QCS_3 - No Normalization","Peak area - S10_QCS_4 - No Normalization","Peak area - S10_QCS_5 - No Normalization","Peak area - S10_QCS_6 - No Normalization","Peak area - S11_ChickenLiver_3 - No Normalization","Peak area - S11_QCS_1 - No Normalization","Peak area - S11_QCS_2 - No Normalization","Peak area - S11_QCS_3 - No Normalization","Peak area - S11_QCS_4 - No Normalization","Peak area - S11_QCS_5 - No Normalization","Peak area - S11_QCS_6 - No Normalization","Peak area - S12_ChickenLiver_4 - No Normalization","Peak area - S12_QCS_1 - No Normalization","Peak area - S12_QCS_2 - No Normalization","Peak area - S12_QCS_3 - No Normalization","Peak area - S12_QCS_4 - No Normalization","Peak area - S12_QCS_5 - No Normalization","Peak area - S12_QCS_6 - No Normalization","Peak area - S13_ChickenHeart_5 - No Normalization","Peak area - S13_QCS_1 - No Normalization","Peak area - S13_QCS_2 - No Normalization","Peak area - S13_QCS_3 - No Normalization","Peak area - S13_QCS_4 - No Normalization","Peak area - S13_QCS_5 - No Normalization","Peak area - S13_QCS_6 - No Normalization","Peak area - S14_GoatLiver_5 - No Normalization","Peak area - S14_QCS_1 - No Normalization","Peak area - S14_QCS_2 - No Normalization","Peak area - S14_QCS_3 - No Normalization","Peak area - S14_QCS_4 - No Normalization","Peak area - S14_QCS_5 - No Normalization","Peak area - S14_QCS_6 - No Normalization","Peak area - S15_ChickenLiver_5 - No Normalization","Peak area - S15_QCS_1 - No Normalization","Peak area - S15_QCS_2 - No Normalization","Peak area - S15_QCS_3 - No Normalization","Peak area - S15_QCS_4 - No Normalization","Peak area - S15_QCS_5 - No Normalization","Peak area - S15_QCS_6 - No Normalization","Peak area - S16_ChickenLiver_6 - No Normalization","Peak area - S16_QCS_1 - No Normalization","Peak area - S16_QCS_2 - No Normalization","Peak area - S16_QCS_3 - No Normalization","Peak area - S16_QCS_4 - No Normalization","Peak area - S16_QCS_5 - No Normalization","Peak area - S16_QCS_6 - No Normalization","Peak area - S17_GoatLiver_6 - No Normalization","Peak area - S17_QCS_1 - No Normalization","Peak area - S17_QCS_2 - No Normalization","Peak area - S17_QCS_3 - No Normalization","Peak area - S17_QCS_4 - No Normalization","Peak area - S17_QCS_5 - No Normalization","Peak area - S17_QCS_6 - No Normalization","Peak area - S18_ChickenHeart_6 - No Normalization","Peak area - S18_QCS_1 - No Normalization","Peak area - S18_QCS_2 - No Normalization","Peak area - S18_QCS_3 - No Normalization","Peak area - S18_QCS_4 - No Normalization","Peak area - S18_QCS_5 - No Normalization","Peak area - S18_QCS_6 - No Normalization","Peak area - S1_ChickenHeart_1 - No Normalization","Peak area - S1_QCS_1 - No Normalization","Peak area - S1_QCS_2 - No Normalization","Peak area - S1_QCS_3 - No Normalization","Peak area - S1_QCS_4 - No Normalization","Peak area - S1_QCS_5 - No Normalization","Peak area - S1_QCS_6 - No Normalization","Peak area - S2_ChickenHeart_2 - No Normalization","Peak area - S2_QCS_1 - No Normalization","Peak area - S2_QCS_2 - No Normalization","Peak area - S2_QCS_3 - No Normalization","Peak area - S2_QCS_4 - No Normalization","Peak area - S2_QCS_5 - No Normalization","Peak area - S2_QCS_6 - No Normalization","Peak area - S3_ChickenLiver_1 - No Normalization","Peak area - S3_QCS_1 - No Normalization","Peak area - S3_QCS_2 - No Normalization","Peak area - S3_QCS_3 - No Normalization","Peak area - S3_QCS_4 - No Normalization","Peak area - S3_QCS_5 - No Normalization","Peak area - S3_QCS_6 - No Normalization","Peak area - S4_GoatLiver_1 - No Normalization","Peak area - S4_QCS_1 - No Normalization","Peak area - S4_QCS_2 - No Normalization","Peak area - S4_QCS_3 - No Normalization","Peak area - S4_QCS_4 - No Normalization","Peak area - S4_QCS_5 - No Normalization","Peak area - S4_QCS_6 - No Normalization","Peak area - S5_ChickenLiver_2 - No Normalization","Peak area - S5_QCS_1 - No Normalization","Peak area - S5_QCS_2 - No Normalization","Peak area - S5_QCS_3 - No Normalization","Peak area - S5_QCS_4 - No Normalization","Peak area - S5_QCS_5 - No Normalization","Peak area - S5_QCS_6 - No Normalization","Peak area - S6_GoatLiver_2 - No Normalization","Peak area - S6_QCS_1 - No Normalization","Peak area - S6_QCS_2 - No Normalization","Peak area - S6_QCS_3 - No Normalization","Peak area - S6_QCS_4 - No Normalization","Peak area - S6_QCS_5 - No Normalization","Peak area - S6_QCS_6 - No Normalization","Peak area - S7_ChickenHeart_3 - No Normalization","Peak area - S7_QCS_1 - No Normalization","Peak area - S7_QCS_2 - No Normalization","Peak area - S7_QCS_3 - No Normalization","Peak area - S7_QCS_4 - No Normalization","Peak area - S7_QCS_5 - No Normalization","Peak area - S7_QCS_6 - No Normalization","Peak area - S8_GoatLiver_3 - No Normalization","Peak area - S8_QCS_1 - No Normalization","Peak area - S8_QCS_2 - No Normalization","Peak area - S8_QCS_3 - No Normalization","Peak area - S8_QCS_4 - No Normalization","Peak area - S8_QCS_5 - No Normalization","Peak area - S8_QCS_6 - No Normalization","Peak area - S9_ChickenHeart_4 - No Normalization","Peak area - S9_QCS_1 - No Normalization","Peak area - S9_QCS_2 - No Normalization","Peak area - S9_QCS_3 - No Normalization","Peak area - S9_QCS_4 - No Normalization","Peak area - S9_QCS_5 - No Normalization","Peak area - S9_QCS_6 - No Normalization"
"260.186",-1.53330080462067,190.063492683135,162.53748031678,65.8608293880238,47.7146594551588,65.5600822661789,161.625057149567,-2.6477836283343,126.436562501779,112.868478526913,54.9710398716363,50.0632495179771,50.628399588123,115.174058444437,-4.86783693422618,205.849266051491,149.98999005064,69.1394113194456,48.3641685470629,48.5906026218117,120.543812133189,-7.86995196547329,303.01774205402,256.972584002155,135.585772164114,114.489612572693,124.077762370951,220.536491040074,5.82035638490943,183.506320172029,190.893642956124,166.387803023938,151.503275953256,174.861274929481,201.753531332808,-1.33846183027586,220.902756907617,228.916231776553,146.25730967298,108.513309748278,82.5070742249401,204.721777938194,-5.2005246390615,145.967439934876,167.904070194085,78.0685200821056,65.5580571779459,76.21446354921,150.642116481876,-3.95205769800945,144.35819074812,143.791901172004,85.0467533530129,86.6001209924145,86.4109077281586,147.682633218136,-10.7811181617826,175.680429596282,162.002700038478,92.6725853758807,84.0263815603394,69.2000009165765,145.48268602257,36.902783831115,237.34238873524,248.952594319451,155.1880078872,141.1944130749,137.503139628125,240.098389617865,33.6731249299665,217.799049143071,221.236563390686,121.481047982983,128.188090843411,136.4688839958,198.828988784535,42.8414454022088,192.295775496316,206.508076909613,151.038029458916,112.972363324195,103.490960796643,160.988523739753,35.2733052558323,67.8454565905142,67.2926642167033,68.6410094322316,62.5411213463999,64.7752117565342,55.004994675077,33.7743973330524,59.7950331047822,58.7369386183398,57.4413873128486,51.2419400348278,49.8862430357742,54.1678506410744,31.9278157938397,61.1782903331874,56.5069637735619,61.0702491620303,54.7746360347221,54.7753306914332,48.8080531230491,-2.79451989863843,146.87466173761,167.291760027981,109.578779677092,126.522687274671,120.37748673471,248.022445301815,11.030150441282,261.920035155947,251.885449066541,152.001765696209,123.984655101003,122.603210818283,248.10722225284,-6.35852923235382,166.486995438957,155.208610069614,86.8972988463086,70.7985800457326,78.5580219162063,147.773606686082
"267.187",-7.17686396901432,136.194120447346,143.153400011173,58.8354983356499,39.5571162744065,56.3415451208818,153.737650374064,-5.39809936219888,93.8593614603413,95.4020268706768,45.8244614000958,36.2353610194207,28.2610014354001,96.1817929593428,-6.88643060709923,128.093898515835,117.002561464037,64.106121608026,43.0535262578577,46.1075269515389,106.885441148649,-2.70610461507918,160.10348624668,171.715158922015,129.446791493023,106.200180880262,102.426300138755,207.802181811646,-1.43122152794216,173.301663281703,180.453440841848,122.193404291389,109.230554891565,125.915379938679,179.133161759727,-2.55825792383914,176.027870986755,146.628203906458,76.2343678810651,57.7829699267575,53.3742109414227,110.2819909451,-2.29993038060891,91.4049548572721,112.049390079953,60.9836286411645,54.6773233032546,64.9944485708373,108.644702215846,-3.67641595132513,118.818624232549,123.20562316263,73.0473378328464,69.497741089469,50.9920861552733,122.528942707386,-4.16788745503588,147.374377470515,135.398281132898,82.9785452482261,67.4436082339856,42.8010532642579,124.081751703304,27.8152225776234,200.646192284607,179.297342757543,92.8071383985403,90.0100000492456,104.475530388572,156.486380098589,25.5168068999305,159.812042350295,171.902325594513,95.1032004164871,94.1219747231796,89.7886769539133,163.428817558585,28.2184808656063,163.588097822419,146.730538856454,92.3559405081158,73.6334450602819,76.5191193070442,99.985044497472,23.6860383709677,52.7879138416554,52.5771874177705,52.6957597039233,47.4818921338099,47.6274486121053,43.4615721472649,24.3898804426706,42.4903687575044,43.3241150886983,43.5184123710224,39.9780156064302,38.938218261507,39.6739308145411,22.1240788723757,45.5542885075114,40.3567335405456,44.3591399081215,42.5964603345303,41.7840044615696,38.0747574096284,-4.25231396847713,120.978858865193,150.286808558189,84.737004865329,76.6762245594487,73.2533759974473,193.667006673016,-3.11865156353392,190.668734979192,167.24950797313,84.8796964265709,75.6794007759264,78.0859729789844,146.980718366696,-5.47386301260946,137.335331052401,122.190444231525,64.5612936327444,46.6025054047259,43.6855150043937,117.20159360638
"102.152",1.97974427636667,46.5289408577316,48.1025883812088,54.6278014514889,45.5750789459574,41.5642667101246,41.7359653230164,54.7735961712042,39.2110686562558,37.8404561831826,39.5824174695789,34.627178940945,34.749346848374,35.4632508710803,59.1900812775146,37.2064709859791,37.7297352229333,36.7878741428779,30.8860469338133,31.261874379207,32.3113289300338,4.79471244538212,50.59529063322,53.273478215502,54.5771121173913,40.646617537968,38.0973881651697,38.839579064561,3.10956144178601,27.6079690640042,25.3341846854202,29.2965142428912,23.8168727002228,23.1131150348349,22.7761170846805,36.3506377962855,40.7228201162996,40.4379139076235,42.488864188902,28.6966852023374,31.0294991268181,28.85923119512,48.6874290283845,40.3111802005085,36.9194119027719,43.305951912051,35.0650453322827,31.7841214390249,31.2399993495989,2.55129236681969,44.3988905145715,42.5758400290618,45.2882320883672,40.0552051082176,40.4641894653106,39.0496387918241,4.32374800901588,36.7196912346121,36.3307431308254,38.8479830897773,33.1917940896277,33.7849685014522,33.9456014851248,17.2231128396854,60.049536293887,59.4245625456573,62.7007345771735,55.3643507568056,52.7777539944591,54.9968999087674,14.5195743091006,57.1100999485112,49.7373196684329,51.553723545656,44.8093309573108,40.0715546793462,44.4695170407199,49.8140843315069,33.9751760842662,34.717101930366,30.4331244799602,27.731254185006,26.3656148058278,34.045001816785,10.6934810558622,50.1772638765546,48.2284805954927,47.4906194597367,39.0333414051205,41.0746807747658,39.5609428736667,34.4789858270202,39.1522148146145,38.0033091997447,43.5310234551372,35.9564589712216,37.1846161081624,33.1171529173758,8.71642137454745,27.1695649295874,28.3434191890771,30.2521932215008,28.2802896407519,29.5386945237264,25.7245345783012,5.08240825812776,25.5461271993209,25.1915907399936,34.7750605185769,37.0200636613901,35.1865072157854,32.6558842780393,2.58760318735976,35.2295423661765,32.1466182140273,37.3645406822868,32.2182147844324,31.6048491980925,29.3080998116532,2.47595908620801,33.4279909358898,33.2238984695443,36.3512704574042,26.9387411972139,27.1968122297293,25.5046446040821
"104.146",1015.12120157515,61.8213050295396,63.2648384018857,46.5904874301756,43.9075158653067,43.9488061705456,70.3234714111302,1442.1538615142,50.8341435734244,46.4614937393307,38.8927594746552,35.7512702443042,36.0609844193163,47.2179590361916,1498.54800852778,46.4453160979298,42.1515778303761,41.3005332163645,38.8037911259406,38.2653616400732,45.581205261209,923.954198994654,73.3149165255545,67.8767049493216,52.2768419621821,52.3761586947232,53.2157522825364,69.2443355026141,979.236289165328,62.8391018267117,63.2063412632131,56.5377465481563,52.426743721372,54.102039385584,67.3386087503559,1630.64409401824,64.4298056459934,59.6812604787722,53.5399308973586,49.0923909028735,47.1156879738898,55.4708253757582,1382.97980354415,54.0254986248407,52.3913850419412,43.65204176841,42.3182516504864,42.8321437576694,52.6536830791653,891.411550329344,56.6943290433927,52.8758296847744,45.0581113958598,44.1248026335033,42.9219443120587,55.4797545919742,755.996492369828,60.0320973333122,59.6605943347193,45.6626244176168,45.0244119237896,43.7432103600669,57.2456665490143,1067.37348078162,26.6671102881115,29.4907702507062,17.531583464252,18.7390135127451,20.713315991235,29.2413208319935,865.484518183414,16.3025172941617,17.6804860501486,13.2752814833742,10.4010644263645,11.117629398593,24.0968059903867,1394.91918250172,15.3434274833736,19.7817883356113,15.1465209051253,10.1645677454542,8.68829321290696,20.791730265942,586.989557966691,6.76046853909079,5.80358857997763,5.80085676076968,2.44141981983498,3.59570846726962,-0.574623475185035,890.328175658955,-7.84836019170746,-7.63789167713796,1.09514924435567,-0.95753488587016,-0.817790844430874,-10.238744550246,434.185196678769,-8.09978613693366,-8.42558820043627,-0.173055980366343,-2.67251878778251,-2.16063317119546,-9.73267929716863,1038.06033333073,45.649051112734,49.7104766271778,40.1988827035011,43.2005642187646,41.7582871305344,61.2236913263295,1051.62552865741,60.2331579501937,57.1720036410981,44.7747229324834,43.3004746068547,42.3695138329597,56.6851468964407,863.386312069679,51.1220973453226,52.9687959408496,38.7046900538701,37.6121372945464,37.5167074361634,51.3025509504804
"116.105",14.6400298099379,25.939484836174,27.1939478243954,27.369476540445,25.0038636334766,25.1396747499843,28.1233320404366,90.1692647551764,22.965165456733,21.6884074373319,22.2364248086488,21.8123389975647,22.5595680652516,22.8023391106927,62.5836876831056,25.3763552169057,25.4934260918133,23.9009184267549,21.0564015738578,20.6509681594912,21.7852066415225,8.53077507283606,30.6279519285231,28.7656331030942,24.5918179993291,24.9866539735311,26.0582159610183,29.4112087469394,27.8177281013006,24.3114289368277,24.8937746658125,28.1792005314091,25.8642351592365,26.1135810649101,26.2830076256325,95.0735225280222,24.5661558946016,23.0983156679988,23.5985799310036,19.3701042633742,19.2722497798764,19.9288632174981,71.5556955878829,25.1267757533652,23.9308369240677,24.6086886697895,21.9961138473231,22.1974846613585,22.0864226050099,19.5577773897571,24.1223824679251,23.7595060631239,22.5323785741653,22.1366159766649,21.2999721403579,24.4078615768632,7.15014464886848,25.2155401388896,24.9029005013238,23.8617511583918,21.3833171835636,20.5003830252503,22.5974770517093,16.2024059508598,34.7808297039992,34.5120645507937,30.7251787884317,29.6041163207268,29.2005701684788,32.3769080719864,14.0131662820171,29.9277973668667,29.1484246395749,27.264720530894,25.9544472465881,25.2700159305205,28.5111320104198,100.5256692434,22.9360134524469,23.9792414404122,22.2847534606318,22.2580259553033,21.5171700533296,25.8531868554706,19.6406415327872,31.8125081562446,31.0646028332383,31.3367041103382,27.0458803655294,27.4222514512418,24.448371910454,54.7136546827869,22.2280911493363,21.03659689082,23.3717016709772,21.0995569328121,20.8525270517659,19.2765378739928,15.0892481843576,19.2706770799057,18.8360380404658,19.8176035155181,19.0447144493943,19.4515542271434,17.1196992460187,7.0365706185935,18.2494296237414,18.8006064826659,19.0798770767843,26.2660774684972,25.2731228391537,28.5961073417288,26.6024677333813,27.9937930485388,27.9528251235028,28.8996260515812,25.864254478801,26.4020789155849,27.0100592036955,4.32021359293916,27.1054441052774,27.7171021658023,24.3294111227772,19.491556262297,17.7022497069725,24.5086820308218
"118.148",24.6706254568436,25.1764539603627,24.8639926567815,17.0336897860808,14.7033140635642,15.7583043229715,24.3655046544365,137.287895626469,22.7654501074394,21.3874914455212,14.1688510538864,12.1007515201959,11.9307816559082,19.9830152572378,111.318867668006,26.2488605074197,21.0823515343337,11.7859166332122,10.3912664523558,9.11357838131165,17.5765893219297,23.861832144575,46.8188494629521,43.7677119345461,33.8612727835087,27.6354196544069,28.5134530315094,37.4719866653879,37.5127711450121,29.5981537649733,29.0535059022117,27.1939131395775,23.2613561750021,23.6294972044444,28.0410533069762,141.789935172128,33.989249592503,31.3992807488159,29.3254504065714,22.5785052908524,21.440260862914,25.1712504936356,109.697861686122,20.3987284574607,20.0572467555181,15.680953815273,13.7461494585423,13.8105172900598,17.8982533642805,24.7457845832022,22.6975223886803,22.0382901823885,16.9429516369543,16.4129718994673,15.2688018681613,21.7438155632107,14.7483300484677,19.6619937028872,19.9371201607458,14.5728450513676,12.6392352355666,11.8073022414852,16.8822904149184,28.5379123063123,43.7615735188569,42.1909303220506,29.7496042593124,28.1586046441093,28.6039310280725,37.8739264730132,24.2542051117063,31.2033630771003,31.2383594403534,25.2648236490161,24.0901297603829,23.7203776153094,31.6480694414929,151.226743503439,29.6463496208504,30.3403706650096,22.1952657694572,18.6776876278012,18.2159267164743,28.3641785466806,24.185455096838,25.5612277461574,25.3806630812591,20.7248172007324,17.1028365826601,18.002430193142,20.5330935198151,83.9273392506879,15.104754031998,14.3459917201935,16.4266932148644,14.2259270683779,13.8772342087144,11.9262310535587,19.4575199150076,13.6738223571445,13.1470769808409,15.1350534797555,13.5659536506293,13.9217967790895,11.9885350028921,29.130579116521,27.2233509382276,29.5834626515523,23.4247767072717,24.1427890989331,24.2244736718667,33.7133667409841,35.3110982063536,33.0210310893873,30.3033204053536,23.6173686367231,19.9874949011293,19.1345499573996,26.3988016409114,21.6720102537469,29.6798200373555,31.3046668609095,21.7777036432737,17.6404399438888,17.3056814243959,25.1340351995821
"120.141",5.24138230092719,10.3745255749393,10.6405334691134,11.6809383709784,10.6979975368928,10.4103019578423,10.3132971457813,38.2586961158798,9.09038051628442,9.13356751847001,9.72133412672659,9.36665294787925,9.58406350474902,8.92959384804605,26.8618184608578,8.96538069581395,8.85276978032529,8.98651822779624,8.07045834485929,7.9106650912898,7.60638344896913,9.37961119657472,8.62728653647474,8.77181392249227,8.74889112362595,8.65967667263041,8.84194059330519,8.48306228725567,8.67967939714545,7.57689109039724,7.79684604446557,8.71732984833063,8.20461607339772,8.18415464695248,7.90320832311094,40.2544070796448,7.27944748400248,7.15958670204405,7.49040671523246,6.45229415086501,6.5805738963986,6.2699847289264,30.857584451669,9.92852061201383,9.54936903339387,10.5793829876789,9.38984775117581,9.26412468476482,8.82980774278944,6.482709901099,9.88596340291676,9.59472518509925,10.0259597238901,9.48015361762164,9.06727945367374,9.50513873052771,4.99654516189473,9.11950875574736,9.07763714001781,9.2638301563137,8.20602353816713,8.18113065755273,8.08605576675051,9.54843971248751,10.1250162956961,10.0029047544922,10.5434277727594,9.83270802593838,9.49288947000729,9.47749504211007,7.63103237479845,9.57600365913597,9.1352003475104,9.33291972042634,8.66846319720489,8.4411913724146,8.71925501662693,43.9631272760262,7.88825235401121,7.87065957862781,7.96539836279786,7.36987668741936,7.23794519461098,7.71025282421306,6.14292865980115,11.3717784289078,11.0508736553493,11.2522882505398,9.72220375946203,10.07640017412,9.04868671376859,20.1189937504896,8.54002507840251,8.20099925989792,8.92994863670711,8.21280571823129,8.26530758553044,7.30730439013484,4.93513390119866,7.4443120671388,7.33858221170326,7.78208149674657,7.53159245783727,7.614070458527,6.85831723036673,8.15223752607866,6.05404558186094,5.94180093664141,7.23633312113351,8.73659931581261,8.56951578890608,8.25182192732111,7.37750041028086,9.24961090962399,8.90931443498005,10.0151486617431,8.68463827195476,8.68405373450481,8.32313175876511,5.54209467684945,7.84573658492302,7.94039502479038,8.16845582409893,6.95555780769906,6.65508313370673,7.15491647273168
"132.125",69.7521270667507,33.9568945702414,34.9489236712393,27.6325963960525,25.4236881233933,26.1774431202783,36.7744752082421,88.8852187065944,31.0685141059701,28.592636363928,20.952103245283,18.8208213381583,18.545138197211,27.0680923870586,81.2262150938535,33.1567903094951,30.1301811387718,22.5031517214303,19.6489288496917,18.6681142439962,27.5363103252683,340.182420725275,62.8884429288875,57.2326018369807,43.1544739303739,39.4946935634626,41.7282504797774,52.9926927569916,123.110398300687,44.3807728088988,43.5322043494246,44.0541345046862,37.8138435543493,40.4638638364525,44.3077130359625,152.647494522989,46.8025529000342,42.8243799687696,40.1941400206415,31.3938647141147,30.6923631164293,35.8683052957522,100.480047084786,26.2477204985268,26.856822601355,21.1451056066017,17.8916671171614,17.6799026697678,23.4824833116502,65.3968221719185,25.989380209844,25.2830507629411,18.2771082471486,18.248336280052,17.3604494892558,26.1765585046503,241.398583099997,28.2326746525441,27.9983068068015,19.3734706310836,15.8949612102316,13.4544582540486,24.2481569077079,337.867996187355,53.3328846809808,54.3169813728434,41.0028340451102,40.5849200730783,42.5199417178919,52.7931745388243,288.349538846843,46.5144135601917,46.5224727414741,36.258133176617,33.5809443431812,33.9723272991797,47.4481735726539,120.171786990823,40.8688375389186,41.66181157012,29.0886918829641,24.6132324827549,23.8210447131423,38.2442883875763,53.8728126388478,24.0514804532285,24.1488679823499,21.6446566983878,18.0540404177917,18.8261532821509,18.0197238182581,71.0072270538194,16.2613254797771,15.6627931425293,19.3023900669145,16.3269916038645,15.8379873652996,12.4827395537425,44.9399884801231,14.2789793874594,13.9696545158953,17.4102821014696,15.4310252734339,15.751203742467,11.8959785618643,364.338577645455,35.8712135242788,37.9824315802216,29.1573992934486,29.537606659239,28.9474396426784,42.4608081429107,109.555033546534,43.3893071093445,41.818481088367,35.6831251891357,31.8761644062909,30.9109485175057,39.1523515310133,289.529745446038,40.3918190289887,40.8720717924387,29.1973601912416,23.3332957424883,21.8225816072011,34.1623106636958
"140.122",16.7243008898546,25.1657423071332,26.7823178413267,24.7023200738845,21.0624733248697,21.3766827633827,29.5537593846542,100.04834149466,20.1362296874539,18.8934976046641,18.5934283678196,15.527594386558,15.227918796353,18.7534698981921,113.132775967802,19.6755629806839,18.4336665337452,20.1209223580304,15.3311509011245,13.7736741585134,15.9830987974813,24.6242864847144,63.8654771018059,61.4468122498278,54.6959325225656,52.6236109450566,53.7810330621907,63.6371486165009,27.4023665645147,56.1490230747832,56.182003245885,56.018983049455,45.6951462090685,45.5208146032758,55.1432891535619,116.910063612413,43.398669287571,41.2311410600397,43.0122281651139,35.3803797736991,34.8146788950115,36.241477970559,103.345103030831,27.6903339065767,24.4480364693847,22.9026391885359,17.3620459442418,17.7568196218962,21.371099756897,10.4682035241899,23.5684577083859,23.0543582711859,20.7074433086183,20.4844273420306,19.6257074238975,23.7774922788165,10.7256787933848,23.0868888686771,23.0957739532742,17.7731175233074,12.7347820845383,11.741528120883,19.3362849733522,33.0796110499015,100.004964360918,94.9790945424962,113.409542363354,84.3227008945514,69.2288475784323,73.4260928497934,26.4014089100976,69.0085538451841,57.7517154913363,62.4712442499325,47.6974249141176,43.0429933137696,47.8408303631496,79.3559692782437,37.7679706643259,39.5832081677903,36.8170784802911,30.1734839291346,29.6971528687382,36.5487149889845,15.63597143635,24.7312326847525,24.1225341906663,23.2735477637074,19.4468316526436,19.9432228415422,18.5029710368476,54.9604846520185,21.8853189139293,20.9930869476537,22.3288199296143,19.0983493621792,18.7367142608768,17.7345319467439,13.259805981189,18.7808003933671,18.0299681168454,18.8396989693717,17.5675480493651,18.0983769332681,17.1137633968276,26.2093755161921,33.0548215218474,33.6558025374702,39.3917623948743,43.0817472948566,41.7199992582542,46.5220462748481,30.2596265115436,54.3058077482084,52.330944710964,50.2794241701746,40.6583342706581,39.6502121321601,46.4972879730283,25.0600032948124,42.4725445893279,43.7073623028336,38.3392755894611,31.1664640602252,29.3894809733434,38.9003877971587
"147.12",66.2511886520254,69.9100688099628,67.4954850678504,70.7678260809326,61.5725686638442,62.9249313866553,62.7536604953516,160.109422486908,76.2569681687271,72.3374904297548,67.9906289737239,72.5805032357337,72.4394566193657,71.3961452554336,127.131281090033,81.1739319996471,77.3357324796303,62.7317255785192,56.1720731133183,53.0961757174792,56.7917061741159,76.8853616601086,71.6840796726661,72.4016557459822,83.7869326327611,93.6655267690909,95.0371397066085,86.8459056982536,141.276459981697,73.8155065796199,79.5368171455598,103.102950190462,89.1726209523425,87.0213679830513,80.2340064524148,249.853492975555,65.4909665266483,64.9529083165048,74.5553257311103,61.9994183948591,66.1001579483656,56.9832885304791,150.581655216867,90.0443144476272,86.4260635149357,97.9851586802453,82.9203562430772,82.0415532372456,77.7237232005101,67.0369638905508,65.3351397736606,64.6712334281252,68.8342002519686,69.5821305602073,68.2992667424783,67.5726921845269,50.2860969329956,77.5635850138668,75.6403099865283,80.1830858079618,67.9060008459063,68.7730780586923,67.4507580905476,116.776597227618,114.742179253302,118.869683935747,133.719798762584,125.666513259532,119.804376530379,116.780532450919,93.9883458469126,121.981233148635,113.406289101864,118.947042411562,108.93259779096,99.1612122889532,104.421475622389,237.769496869744,76.8645298920801,81.2459849116541,85.2917027077252,82.7934421205499,81.6076555649595,88.5981584961209,83.0280451326757,102.47576970548,100.64827460864,98.5376386540376,83.3056068096156,84.0156166482587,80.5352198800317,108.16060561664,59.2276347968084,54.3978366013164,65.0700645852496,60.5705888281987,61.7229516725587,47.7121927478987,59.5094142522505,62.9123703467801,61.4984846859837,62.9341014101824,59.2406374732784,59.5495114035158,55.0297430458885,93.523219326403,39.7243996109543,42.8353531981644,75.6373917873028,115.161306288247,113.267931878049,101.421107181031,132.292632201695,96.9046822997673,96.9371879194131,118.443438662781,98.1059732423484,99.2005794376297,92.5633683372374,52.2195017062193,67.7777837633093,69.6921933053128,77.6275462246046,69.1503668519588,66.7061397984706,66.6078365132542
