# Exported with SCiLS Lab Version 12.00.15110
# Export time: 2024-04-10 18:55:54
# Generated from file: V:\Instruments\Gobi\Vandenbosch_Michiel\Luojiao\20240405_QCSTissue_Day1\20240405_day1-3_noBaselineRemoval.slx
# Object Full Name: All Features
# Object ID: ca0ea0f2-f5eb-471e-9b86-4cdb9d405fc1
# Object type: Static feature list
# Object creation time: 2024-04-08 08:03:50
#
m/z;Interval Width (+/- Da);Color;Name;Peak area - S10_GoatLiver_4 - Total Ion Count;Peak area - S10_QCS_1 - Total Ion Count;Peak area - S10_QCS_2 - Total Ion Count;Peak area - S10_QCS_3 - Total Ion Count;Peak area - S10_QCS_4 - Total Ion Count;Peak area - S10_QCS_5 - Total Ion Count;Peak area - S10_QCS_6 - Total Ion Count;Peak area - S11_ChickenLiver_3 - Total Ion Count;Peak area - S11_QCS_1 - Total Ion Count;Peak area - S11_QCS_2 - Total Ion Count;Peak area - S11_QCS_3 - Total Ion Count;Peak area - S11_QCS_4 - Total Ion Count;Peak area - S11_QCS_5 - Total Ion Count;Peak area - S11_QCS_6 - Total Ion Count;Peak area - S12_ChickenLiver_4 - Total Ion Count;Peak area - S12_QCS_1 - Total Ion Count;Peak area - S12_QCS_2 - Total Ion Count;Peak area - S12_QCS_3 - Total Ion Count;Peak area - S12_QCS_4 - Total Ion Count;Peak area - S12_QCS_5 - Total Ion Count;Peak area - S12_QCS_6 - Total Ion Count;Peak area - S13_ChickenHeart_5 - Total Ion Count;Peak area - S13_QCS_1 - Total Ion Count;Peak area - S13_QCS_2 - Total Ion Count;Peak area - S13_QCS_3 - Total Ion Count;Peak area - S13_QCS_4 - Total Ion Count;Peak area - S13_QCS_5 - Total Ion Count;Peak area - S13_QCS_6 - Total Ion Count;Peak area - S14_GoatLiver_5 - Total Ion Count;Peak area - S14_QCS_1 - Total Ion Count;Peak area - S14_QCS_2 - Total Ion Count;Peak area - S14_QCS_3 - Total Ion Count;Peak area - S14_QCS_5 - Total Ion Count;Peak area - S14_QCS_5 - Total Ion Count;Peak area - S14_QCS_6 - Total Ion Count;Peak area - S15_ChickenLiver_5 - Total Ion Count;Peak area - S15_QCS_1 - Total Ion Count;Peak area - S15_QCS_2 - Total Ion Count;Peak area - S15_QCS_3 - Total Ion Count;Peak area - S15_QCS_4 - Total Ion Count;Peak area - S15_QCS_5 - Total Ion Count;Peak area - S15_QCS_6 - Total Ion Count;Peak area - S16_ChickenLiver_6 - Total Ion Count;Peak area - S16_QCS_1 - Total Ion Count;Peak area - S16_QCS_2 - Total Ion Count;Peak area - S16_QCS_3 - Total Ion Count;Peak area - S16_QCS_4 - Total Ion Count;Peak area - S16_QCS_5 - Total Ion Count;Peak area - S16_QCS_6 - Total Ion Count;Peak area - S17_GoatLiver_6 - Total Ion Count;Peak area - S17_QCS_1 - Total Ion Count;Peak area - S17_QCS_2 - Total Ion Count;Peak area - S17_QCS_3 - Total Ion Count;Peak area - S17_QCS_4 - Total Ion Count;Peak area - S17_QCS_5 - Total Ion Count;Peak area - S17_QCS_6 - Total Ion Count;Peak area - S18_ChickenHeart_6 - Total Ion Count;Peak area - S18_QCS_1 - Total Ion Count;Peak area - S18_QCS_2 - Total Ion Count;Peak area - S18_QCS_3 - Total Ion Count;Peak area - S18_QCS_4 - Total Ion Count;Peak area - S18_QCS_5 - Total Ion Count;Peak area - S18_QCS_6 - Total Ion Count;Peak area - S1_ChickenHeart_1 - Total Ion Count;Peak area - S1_QCS_1 - Total Ion Count;Peak area - S1_QCS_2 - Total Ion Count;Peak area - S1_QCS_3 - Total Ion Count;Peak area - S1_QCS_4 - Total Ion Count;Peak area - S1_QCS_5 - Total Ion Count;Peak area - S1_QCS_6 - Total Ion Count;Peak area - S2_ChickenHeart_2 - Total Ion Count;Peak area - S2_QCS_1 - Total Ion Count;Peak area - S2_QCS_2 - Total Ion Count;Peak area - S2_QCS_3 - Total Ion Count;Peak area - S2_QCS_4 - Total Ion Count;Peak area - S2_QCS_5 - Total Ion Count;Peak area - S2_QCS_6 - Total Ion Count;Peak area - S3_ChickenLiver_1 - Total Ion Count;Peak area - S3_QCS_1 - Total Ion Count;Peak area - S3_QCS_2 - Total Ion Count;Peak area - S3_QCS_3 - Total Ion Count;Peak area - S3_QCS_4 - Total Ion Count;Peak area - S3_QCS_5 - Total Ion Count;Peak area - S3_QCS_6 - Total Ion Count;Peak area - S4_GoatLiver_1 - Total Ion Count;Peak area - S4_QCS_1 - Total Ion Count;Peak area - S4_QCS_2 - Total Ion Count;Peak area - S4_QCS_3 - Total Ion Count;Peak area - S4_QCS_4 - Total Ion Count;Peak area - S4_QCS_5 - Total Ion Count;Peak area - S4_QCS_6 - Total Ion Count;Peak area - S5_ChickenLiver_2 - Total Ion Count;Peak area - S5_QCS_1 - Total Ion Count;Peak area - S5_QCS_2 - Total Ion Count;Peak area - S5_QCS_3 - Total Ion Count;Peak area - S5_QCS_4 - Total Ion Count;Peak area - S5_QCS_5 - Total Ion Count;Peak area - S5_QCS_6 - Total Ion Count;Peak area - S6_GoatLiver_2 - Total Ion Count;Peak area - S6_QCS_1 - Total Ion Count;Peak area - S6_QCS_2 - Total Ion Count;Peak area - S6_QCS_3 - Total Ion Count;Peak area - S6_QCS_4 - Total Ion Count;Peak area - S6_QCS_5 - Total Ion Count;Peak area - S6_QCS_6 - Total Ion Count;Peak area - S7_ChickenHeart_3 - Total Ion Count;Peak area - S7_QCS_1 - Total Ion Count;Peak area - S7_QCS_2 - Total Ion Count;Peak area - S7_QCS_3 - Total Ion Count;Peak area - S7_QCS_4 - Total Ion Count;Peak area - S7_QCS_5 - Total Ion Count;Peak area - S7_QCS_6 - Total Ion Count;Peak area - S8_GoatLiver_3 - Total Ion Count;Peak area - S8_QCS_1 - Total Ion Count;Peak area - S8_QCS_2 - Total Ion Count;Peak area - S8_QCS_3 - Total Ion Count;Peak area - S8_QCS_4 - Total Ion Count;Peak area - S8_QCS_5 - Total Ion Count;Peak area - S8_QCS_6 - Total Ion Count;Peak area - S9_ChickenHeart_4 - Total Ion Count;Peak area - S9_QCS_1 - Total Ion Count;Peak area - S9_QCS_2 - Total Ion Count;Peak area - S9_QCS_3 - Total Ion Count;Peak area - S9_QCS_4 - Total Ion Count;Peak area - S9_QCS_5 - Total Ion Count;Peak area - S9_QCS_6 - Total Ion Count
102.152;0.40000000000001;#ff0000;;15.804785728455;35.331932067871;35.922519683838;37.800846099854;34.546585083008;31.89838218689;32.844497680664;71.943901062012;32.400894165039;31.933446884155;32.367183685303;30.464454650879;30.716787338257;31.216474533081;85.323532104492;30.53394317627;30.73371887207;31.236629486084;29.326412200928;29.733531951904;30.364238739014;17.929567337036;37.713745117188;39.263702392578;37.756771087646;30.172960281372;28.790731430054;30.4440574646;13.923349380493;23.39400100708;21.88822555542;22.305858612061;21.076017379761;20.561012268066;21.386087417603;50.703754425049;35.370189666748;35.404968261719;35.498077392578;28.393905639648;29.969934463501;29.450445175171;63.280662536621;28.004280090332;26.764488220215;29.308639526367;27.567092895508;25.688533782959;25.673505783081;15.408279418945;34.510746002197;33.304244995117;33.951782226562;30.677663803101;30.881944656372;30.814769744873;19.110708236694;28.841438293457;28.98983001709;29.449701309204;28.26495552063;28.410596847534;29.005102157593;18.027212142944;50.069412231445;48.290153503418;48.931591033936;45.661884307861;47.897373199463;45.21374130249;17.206817626953;49.029369354248;43.873664855957;44.509757995605;40.061904907227;41.581447601318;36.47620010376;67.81600189209;31.02592086792;31.376537322998;26.719219207764;26.741842269897;33.101787567139;25.284442901611;15.002752304077;42.847568511963;42.098316192627;40.096988677979;37.950981140137;39.506965637207;40.601062774658;66.41438293457;41.682392120361;42.009380340576;47.272815704346;42.933906555176;44.321529388428;39.576148986816;15.596535682678;30.176317214966;31.948640823364;33.477840423584;33.450096130371;34.940628051758;31.164236068726;16.699836730957;25.313068389893;25.089870452881;27.638429641724;27.541423797607;27.073631286621;26.07239151001;13.86136341095;26.354911804199;24.820919036865;26.428073883057;26.028162002563;25.414491653442;24.518690109253;17.350719451904;29.525506973267;29.294967651367;29.879615783691;26.117715835571;26.596431732178;25.569938659668
104.146;0.3;#00e2e5;;1494.9819335938;33.507961273193;34.319202423096;20.846122741699;19.77158164978;19.345434188843;40.493167877197;1964.7517089844;27.193523406982;23.911443710327;16.923267364502;15.033679008484;15.253214836121;24.988975524902;2294.130859375;23.002178192139;19.726020812988;19.285530090332;17.897686004639;17.325874328613;24.312358856201;1373.3820800781;43.957374572754;39.528778076172;24.545099258423;24.724248886108;25.165071487427;40.079936981201;1245.2868652344;34.331516265869;35.41064453125;26.413782119751;25.547773361206;26.736240386963;39.264938354492;2310.6469726562;41.942596435547;37.229393005371;30.171581268311;28.023544311523;25.454654693604;35.831661224365;1956.0500488281;25.578245162964;23.797416687012;16.984792709351;17.504013061523;17.752908706665;26.068027496338;1432.6441650391;29.314294815063;27.599185943604;19.106779098511;18.109260559082;17.221961975098;28.646448135376;1404.0336914062;33.12084197998;32.50053024292;19.426258087158;20.754955291748;19.521146774292;31.13582611084;1292.8374023438;36.351013183594;26.593276977539;37.133033752441;29.589010238647;39.8720703125;32.723529815674;1223.955078125;28.922395706177;26.156053543091;31.930057525635;25.40930557251;39.202072143555;26.407423019409;1825.4423828125;31.74949836731;34.475791931152;30.447843551636;28.135900497437;38.194053649902;26.810693740845;1074.2409667969;21.428066253662;21.067329406738;20.165542602539;20.426628112793;20.984432220459;18.388235092163;1739.0241699219;11.638626098633;12.553896903992;21.268405914307;21.320291519165;21.343296051025;10.543025970459;1055.4622802734;12.510585784912;12.147036552429;20.606224060059;19.372648239136;20.263038635254;11.626278877258;1212.6610107422;23.714902877808;27.051937103271;16.627094268799;18.061901092529;17.030456542969;31.583097457886;1239.1540527344;29.969728469849;27.884035110474;18.036695480347;18.740322113037;18.250177383423;29.235311508179;1275.6273193359;27.836254119873;28.901996612549;16.24906539917;16.838609695435;16.868816375732;28.686918258667
116.105;0.3;#eee685;;26.374237060547;20.277391433716;20.805030822754;19.844318389893;19.658798217773;19.588886260986;21.80908203125;103.44976806641;19.986906051636;19.430330276489;19.255397796631;19.778675079346;20.407848358154;20.631294250488;83.41495513916;21.013540267944;20.964639663696;20.676849365234;20.209089279175;20.044612884521;20.794561386108;15.797300338745;25.755399703979;24.380294799805;19.847494125366;20.31075668335;21.030435562134;24.578548431396;36.404571533203;20.567991256714;21.10955619812;21.339052200317;21.609033584595;21.749603271484;22.836612701416;129.10147094727;23.828227996826;22.555383682251;22.263454437256;20.29341506958;19.83544921875;21.453630447388;97.881217956543;19.358943939209;18.674343109131;18.542589187622;18.654001235962;18.811058044434;19.020757675171;32.017684936523;20.412509918213;20.474689483643;18.681331634521;18.285148620605;17.657764434814;20.553491592407;15.741416931152;21.505498886108;21.410526275635;19.80645942688;19.648242950439;18.751926422119;20.653429031372;15.534035682678;27.241794586182;21.815599441528;26.357883453369;22.538307189941;26.314964294434;23.254613876343;15.14520072937;23.693006515503;21.253488540649;24.202342987061;21.46854019165;24.896881103516;21.30125617981;135.42457580566;19.176837921143;19.837295532227;17.974592208862;19.78271484375;23.082986831665;19.142650604248;31.212350845337;25.269264221191;25.18412399292;24.552309036255;24.353116989136;24.329654693604;23.080795288086;106.05472564697;21.73118019104;21.234836578369;23.281503677368;23.043928146362;22.697792053223;21.007345199585;30.53199005127;19.871236801147;19.582054138184;20.221441268921;20.738693237305;21.246377944946;19.013166427612;14.865873336792;18.147531509399;18.463562011719;16.330394744873;19.317529678345;19.080139160156;21.231317520142;32.029426574707;19.921676635742;20.036504745483;19.557668685913;19.89457321167;20.051811218262;20.72772026062;15.018916130066;22.863111495972;23.025421142578;19.947002410889;18.570953369141;17.592031478882;22.01456451416
118.148;0.3;#1f78c8;;35.809967041016;18.901355743408;18.566911697388;13.128129005432;12.381715774536;12.914459228516;18.621784210205;158.20109558105;18.885288238525;18.267004013062;13.02779006958;12.221502304077;12.173687934875;17.76718711853;143.80247497559;20.803384780884;17.566745758057;11.844518661499;11.438883781433;10.604192733765;16.655303955078;36.994171142578;37.884704589844;35.614189147949;26.406936645508;22.232513427734;22.753965377808;30.567810058594;47.975452423096;24.594223022461;24.517709732056;20.76319694519;19.82147026062;19.978916168213;24.19457244873;185.02084350586;32.215873718262;30.017978668213;27.363996505737;23.529024124146;22.084609985352;26.710710525513;144.53544616699;16.671422958374;16.40075302124;13.118737220764;13.053792953491;13.065091133118;16.280529022217;40.680751800537;19.579584121704;19.834001541138;14.918107032776;14.345988273621;13.50053691864;18.955528259277;30.284086227417;17.975114822388;18.145210266113;13.461067199707;13.22111415863;12.462993621826;16.438020706177;32.678394317627;36.226570129395;22.164266586304;33.820720672607;22.548740386963;32.453125;23.973262786865;32.372104644775;26.188215255737;20.817739486694;27.873731613159;21.067436218262;29.430145263672;21.119823455811;206.77401733398;27.739784240723;27.565519332886;19.664552688599;17.825950622559;27.687881469727;17.392930984497;42.628005981445;21.437278747559;21.723865509033;16.885789871216;16.054376602173;16.614055633545;20.574548721313;167.61683654785;15.388885498047;15.298930168152;17.116704940796;16.375722885132;15.801843643188;13.573175430298;45.301559448242;15.083603858948;14.465154647827;16.259496688843;15.632253646851;16.163814544678;14.143505096436;32.807556152344;22.853181838989;24.330209732056;17.605815887451;17.251703262329;17.47931098938;23.296142578125;39.1227684021;22.013095855713;20.619241714478;15.92778301239;15.376047134399;14.816025733948;19.443706512451;32.055114746094;23.743556976318;24.459625244141;17.21063041687;15.969717025757;15.86768245697;21.277557373047
120.141;0.40000000000001;#00ff00;;11.739959716797;9.0809869766235;9.1760873794556;9.2941656112671;9.1796178817749;9.004674911499;9.1866188049316;45.407936096191;9.094654083252;9.2200708389282;9.3650741577148;9.4420499801636;9.7386341094971;9.3147382736206;37.396705627441;8.8320465087891;8.6237468719482;9.0936832427979;9.0304183959961;9.064489364624;8.7392272949219;16.473081588745;8.5606307983398;8.6823692321777;8.0603761672974;8.1257753372192;8.3191537857056;8.3695859909058;13.59481048584;7.6041874885559;7.7396540641785;7.8207926750183;8.1113166809082;8.0255060195923;8.1669454574585;58.698535919189;8.632869720459;8.5795345306396;8.5469608306885;8.155143737793;8.197940826416;8.2533435821533;45.438022613525;8.8227682113647;8.689432144165;9.0350456237793;9.1479196548462;9.0588932037354;8.8568439483643;12.746994018555;9.4989194869995;9.2347106933594;9.3358869552612;8.837589263916;8.5086536407471;9.056770324707;12.917381286621;9.2950143814087;9.2931804656982;9.1783542633057;8.93337059021;8.8307704925537;8.9567375183105;11.836935997009;8.5862922668457;8.2510776519775;8.3613662719727;8.244423866272;8.3475008010864;8.2334032058716;10.887910842896;8.2882862091064;8.0350103378296;8.206672668457;7.8824224472046;8.1860761642456;7.8428320884705;61.874382019043;7.6501822471619;7.5537996292114;7.4565987586975;7.6014218330383;7.8617463111877;7.434449672699;11.701602935791;10.098777770996;10.014367103577;9.9319705963135;9.8487014770508;10.121928215027;9.6522912979126;41.891742706299;9.6771488189697;9.6229934692383;10.232550621033;10.404301643372;10.41631603241;9.31764793396;12.524567604065;8.9836559295654;8.9726886749268;9.236988067627;9.6669816970825;9.673041343689;9.0790205001831;12.627349853516;7.8236470222473;7.7095227241516;7.5509390830994;7.9958386421204;8.0650243759155;7.9526839256287;11.713315010071;7.8834095001221;7.7678718566895;8.0354566574097;7.9997458457947;7.920726776123;7.8498840332031;12.135922431946;8.2354583740234;8.2908535003662;8.0242977142334;7.8964281082153;7.7487006187439;8.1660833358765
132.125;0.30000000000001;#6a33c2;;94.844047546387;25.166845321655;25.599468231201;19.863668441772;19.413557052612;19.585550308228;27.28108215332;112.59121704102;24.768524169922;23.304811477661;17.262405395508;16.464120864868;16.274551391602;22.741010665894;114.57358551025;25.752983093262;23.784259796143;18.819555282593;17.602596282959;16.859687805176;23.896074295044;393.46505737305;48.439228057861;44.886791229248;33.932834625244;31.960771560669;33.102603912354;41.752456665039;132.59475708008;36.18726348877;36.288307189941;32.766246795654;32.01135635376;33.458312988281;37.4697265625;178.53601074219;43.38533782959;40.518421173096;37.564479827881;34.039249420166;32.876983642578;38.468990325928;122.589012146;23.397453308105;23.490865707397;19.95631980896;19.991876602173;19.849906921387;23.629873275757;97.609649658203;25.940942764282;26.48069190979;20.652849197388;20.363424301147;19.845352172852;26.206356048584;348.33285522461;27.549510955811;27.36004447937;21.004638671875;20.526712417603;18.835802078247;25.735277175903;422.90243530273;47.99206161499;34.276817321777;47.314960479736;36.427040100098;49.383842468262;39.899677276611;422.65277099609;43.409622192383;33.942874908447;46.23709487915;33.586067199707;48.962951660156;34.508266448975;170.55703735352;42.843433380127;42.064304351807;29.889379501343;27.76621055603;41.768032073975;27.040481567383;105.42336273193;23.444261550903;24.094121932983;20.930246353149;20.712495803833;21.103422164917;21.768484115601;149.02505493164;20.226694107056;20.619007110596;24.060495376587;23.086912155151;22.316595077515;18.252593994141;116.81095123291;19.717741012573;19.385631561279;22.765117645264;22.066993713379;22.662300109863;18.155504226685;377.37292480469;29.633979797363;31.226902008057;21.554229736328;20.862377166748;20.594284057617;29.613164901733;118.58010101318;29.179679870605;28.382400512695;23.262075424194;23.034334182739;22.533346176147;28.251731872559;381.58236694336;32.235214233398;32.043064117432;22.379550933838;20.038761138916;19.054950714111;28.319631576538
140.122;0.2989758255176;#6a33c2;;32.112281799316;22.451473236084;23.218673706055;21.308639526367;20.532339096069;20.540771484375;24.962589263916;103.89262390137;21.221845626831;20.884552001953;20.220909118652;19.406759262085;19.297920227051;21.122102737427;127.51998901367;20.491319656372;19.70671081543;21.267482757568;19.59174156189;18.854953765869;20.127992630005;44.161350250244;50.389770507812;48.940647125244;42.927616119385;42.242130279541;42.930168151855;50.045516967773;41.14920425415;45.041145324707;45.441104888916;42.046279907227;39.393768310547;38.932884216309;45.933212280273;129.84399414062;41.918170928955;40.704624176025;40.676464080811;37.981948852539;37.276424407959;39.781742095947;117.7529296875;25.056663513184;23.322828292847;22.053619384766;21.013423919678;21.205745697021;23.364543914795;31.106857299805;26.190984725952;26.355838775635;24.020774841309;23.586380004883;22.877042770386;26.205413818359;34.145164489746;25.487749099731;25.490343093872;21.591279983521;19.989009857178;19.253458023071;23.916048049927;40.263767242432;92.931854248047;98.295684814453;88.017929077148;79.371490478516;72.724739074707;68.461151123047;38.35705947876;67.416694641113;61.658107757568;59.487976074219;50.392421722412;52.430095672607;46.443920135498;114.79145812988;41.02906036377;42.485877990723;39.121814727783;35.315071105957;42.1770362854;34.633277893066;29.095371246338;24.504446029663;24.514478683472;22.836050033569;21.89306640625;22.061010360718;21.823516845703;115.94169616699;26.838924407959;26.707210540771;27.670486450195;25.925651550293;25.107452392578;24.186351776123;31.207534790039;24.176292419434;23.462686538696;23.612016677856;23.441970825195;24.150297164917;23.67911529541;33.45919418335;30.313962936401;30.785757064819;30.314552307129;31.007915496826;30.866600036621;33.373458862305;36.187660217285;35.123657226562;34.358901977539;32.260990142822;30.128616333008;29.508806228638;33.127498626709;39.794086456299;34.429359436035;34.84103012085;30.621425628662;28.660999298096;27.821743011475;33.305335998535
147.12;0.30000000000001;#a6cee3;;107.73181152344;58.197883605957;56.665634155273;55.332202911377;54.053939819336;54.310245513916;55.44356918335;179.87600708008;63.867340087891;62.581344604492;59.154670715332;64.001708984375;64.369567871094;63.92594909668;168.63381958008;64.989974975586;62.878593444824;57.754852294922;58.111553192139;56.787342071533;58.658020019531;118.96524047852;62.352912902832;62.683052062988;66.970840454102;74.533546447754;75.612838745117;73.041786193848;172.8727722168;62.95626449585;66.233871459961;76.565307617188;73.59782409668;71.845817565918;70.330528259277;323.67877197266;63.058246612549;62.829586029053;68.040573120117;63.004718780518;65.964996337891;60.689197540283;199.78746032715;65.835586547852;64.725151062012;69.719970703125;66.919654846191;66.508583068848;64.487724304199;114.02951812744;59.002174377441;58.78197479248;59.872783660889;60.197410583496;59.101238250732;60.177051544189;101.19665527344;65.695915222168;64.82763671875;65.967491149902;62.294567108154;62.4172706604;62.615756988525;138.4322052002;92.864669799805;101.25434875488;96.108245849609;102.19264221191;100.19176483154;101.30921936035;127.18144989014;102.38279724121;99.724060058594;98.910285949707;96.09935760498;95.544998168945;89.178688049316;326.42965698242;66.929145812988;71.455848693848;73.213455200195;79.323867797852;84.395050048828;77.865631103516;142.47375488281;84.664978027344;85.208938598633;80.60652923584;77.938896179199;77.777061462402;79.211601257324;204.90968322754;56.695472717285;53.243564605713;64.321998596191;65.415916442871;66.85466003418;49.295475006104;125.56017303467;65.236587524414;64.296272277832;64.811683654785;64.591049194336;64.698883056641;61.144153594971;105.96508026123;48.301727294922;50.001056671143;59.519245147705;73.812652587891;74.365081787109;69.997360229492;133.96687316895;64.936340332031;65.39136505127;71.635711669922;69.453506469727;69.199806213379;67.349540710449;95.311912536621;61.351085662842;61.988990783691;63.182285308838;63.748096466064;63.043411254883;63.547771453857
148.12;0.40000000000001;#b2df8a;;74.16682434082;33.108619689941;32.024219512939;30.617303848267;27.826135635376;26.666034698486;28.141590118408;91.397247314453;33.412136077881;33.00846862793;32.280433654785;31.133512496948;31.292320251465;31.568920135498;87.113655090332;31.540332794189;30.490718841553;28.394887924194;27.369409561157;26.068901062012;27.149543762207;75.341148376465;23.591234207153;23.142505645752;23.099155426025;22.401811599731;23.165386199951;23.091020584106;104.1580581665;21.068180084229;21.654697418213;23.681158065796;23.025854110718;22.913694381714;22.077342987061;139.04916381836;24.842405319214;24.583225250244;25.699779510498;22.758480072021;22.313718795776;23.045631408691;83.473663330078;23.723184585571;22.885656356812;23.61389541626;21.788938522339;21.378421783447;21.785676956177;79.735610961914;24.879726409912;24.757808685303;24.844230651855;23.065980911255;22.001955032349;23.597717285156;70.325523376465;23.786499023438;23.852291107178;23.484483718872;21.215223312378;21.506750106812;22.251970291138;74.463134765625;31.332401275635;30.927486419678;31.188684463501;30.809770584106;31.734035491943;31.771015167236;72.267684936523;32.381744384766;31.224155426025;32.221927642822;30.055675506592;31.034564971924;28.545108795166;133.57489013672;25.750226974487;26.032146453857;24.508470535278;23.361679077148;26.350017547607;22.135038375854;76.588027954102;28.509489059448;29.091716766357;27.292318344116;26.150329589844;26.633373260498;27.485567092896;103.12277984619;26.333463668823;26.167594909668;30.100690841675;28.381896972656;28.416830062866;24.227890014648;83.858428955078;23.555068969727;23.947570800781;25.592575073242;24.461055755615;25.100635528564;22.845262527466;64.707290649414;25.299036026001;25.950437545776;27.316787719727;27.432466506958;28.181274414062;26.998914718628;96.06421661377;25.524517059326;25.002679824829;26.230665206909;25.021865844727;25.008308410645;24.231462478638;73.128227233887;28.936326980591;28.621780395508;28.030080795288;25.101593017578;23.94291305542;25.987392425537
158.086;0.40000000000001;#bebe00;;20.280216217041;18.56796836853;18.415733337402;18.488355636597;17.103101730347;16.774801254272;16.124185562134;36.197944641113;17.29764175415;17.394611358643;18.523807525635;16.667369842529;16.350908279419;15.870355606079;35.308555603027;14.880277633667;14.063743591309;15.639343261719;14.42073059082;13.65580368042;12.917573928833;20.399505615234;24.110403060913;23.842840194702;24.068975448608;21.520992279053;21.905323028564;21.097564697266;23.175401687622;19.69732093811;19.423812866211;19.569265365601;19.085823059082;18.67486000061;18.666069030762;51.827812194824;24.232860565186;24.418184280396;24.245246887207;22.618759155273;22.417167663574;22.054605484009;40.786087036133;17.187545776367;16.630174636841;16.975702285767;15.512652397156;15.207629203796;15.064157485962;21.285177230835;18.888338088989;18.588691711426;19.019208908081;17.901336669922;17.593227386475;17.328132629395;20.069742202759;15.46057510376;15.713488578796;15.421822547913;14.086150169373;14.062449455261;14.180061340332;20.557949066162;27.641479492188;26.732818603516;27.003908157349;25.316431045532;25.632963180542;25.238851547241;19.257024765015;24.839767456055;23.180730819702;23.723262786865;22.095930099487;22.550369262695;21.202642440796;46.403820037842;20.191932678223;20.106775283813;19.211143493652;17.83780670166;18.740949630737;17.783668518066;19.284915924072;18.502347946167;18.840591430664;17.901636123657;17.839363098145;18.001169204712;18.595436096191;35.267822265625;20.79860496521;21.041707992554;21.405120849609;20.014495849609;20.019275665283;19.565828323364;18.921669006348;16.992542266846;17.247425079346;17.750062942505;17.572992324829;17.797792434692;17.061717987061;19.783149719238;24.529636383057;24.516174316406;24.206792831421;20.818899154663;21.404909133911;20.598024368286;21.839538574219;20.374000549316;19.744729995728;19.695449829102;17.94136428833;17.471773147583;17.183794021606;20.961633682251;23.12327003479;23.661695480347;22.768863677979;20.305316925049;20.026763916016;19.830707550049
