# Exported with SCiLS Lab Version 12.01.16059
# Export time: 2024-04-26 11:04:01
# Generated from file: V:\Instruments\Gobi\Vandenbosch_Michiel\Luojiao\20240405_QCSTissue_Day1\20240405_day1-3_BaselineRemoval.slx
# Object Full Name: All Features
# Object ID: afad0ade-9e2e-43bb-9aea-72ec417ef666
# Object type: Static feature list
# Object creation time: 2024-04-08 15:47:14
#
m/z;Interval Width (+/- Da);Color;Name;Peak area - S10_GoatLiver_4 - No Normalization;Peak area - S10_QCS_1 - No Normalization;Peak area - S10_QCS_2 - No Normalization;Peak area - S10_QCS_3 - No Normalization;Peak area - S10_QCS_4 - No Normalization;Peak area - S10_QCS_5 - No Normalization;Peak area - S10_QCS_6 - No Normalization;Peak area - S11_ChickenLiver_3 - No Normalization;Peak area - S11_QCS_1 - No Normalization;Peak area - S11_QCS_2 - No Normalization;Peak area - S11_QCS_3 - No Normalization;Peak area - S11_QCS_4 - No Normalization;Peak area - S11_QCS_5 - No Normalization;Peak area - S11_QCS_6 - No Normalization;Peak area - S12_ChickenLiver_4 - No Normalization;Peak area - S12_QCS_1 - No Normalization;Peak area - S12_QCS_2 - No Normalization;Peak area - S12_QCS_3 - No Normalization;Peak area - S12_QCS_4 - No Normalization;Peak area - S12_QCS_5 - No Normalization;Peak area - S12_QCS_6 - No Normalization;Peak area - S13_ChickenHeart_5 - No Normalization;Peak area - S13_QCS_1 - No Normalization;Peak area - S13_QCS_2 - No Normalization;Peak area - S13_QCS_3 - No Normalization;Peak area - S13_QCS_4 - No Normalization;Peak area - S13_QCS_5 - No Normalization;Peak area - S13_QCS_6 - No Normalization;Peak area - S14_GoatLiver_5 - No Normalization;Peak area - S14_QCS_1 - No Normalization;Peak area - S14_QCS_2 - No Normalization;Peak area - S14_QCS_3 - No Normalization;Peak area - S14_QCS_4 - No Normalization;Peak area - S14_QCS_5 - No Normalization;Peak area - S14_QCS_6 - No Normalization;Peak area - S15_ChickenLiver_5 - No Normalization;Peak area - S15_QCS_1 - No Normalization;Peak area - S15_QCS_2 - No Normalization;Peak area - S15_QCS_3 - No Normalization;Peak area - S15_QCS_4 - No Normalization;Peak area - S15_QCS_5 - No Normalization;Peak area - S15_QCS_6 - No Normalization;Peak area - S16_ChickenLiver_6 - No Normalization;Peak area - S16_QCS_1 - No Normalization;Peak area - S16_QCS_2 - No Normalization;Peak area - S16_QCS_3 - No Normalization;Peak area - S16_QCS_4 - No Normalization;Peak area - S16_QCS_5 - No Normalization;Peak area - S16_QCS_6 - No Normalization;Peak area - S17_GoatLiver_6 - No Normalization;Peak area - S17_QCS_1 - No Normalization;Peak area - S17_QCS_2 - No Normalization;Peak area - S17_QCS_3 - No Normalization;Peak area - S17_QCS_4 - No Normalization;Peak area - S17_QCS_5 - No Normalization;Peak area - S17_QCS_6 - No Normalization;Peak area - S18_ChickenHeart_6 - No Normalization;Peak area - S18_QCS_1 - No Normalization;Peak area - S18_QCS_2 - No Normalization;Peak area - S18_QCS_3 - No Normalization;Peak area - S18_QCS_4 - No Normalization;Peak area - S18_QCS_5 - No Normalization;Peak area - S18_QCS_6 - No Normalization;Peak area - S1_ChickenHeart_1 - No Normalization;Peak area - S1_QCS_1 - No Normalization;Peak area - S1_QCS_2 - No Normalization;Peak area - S1_QCS_3 - No Normalization;Peak area - S1_QCS_4 - No Normalization;Peak area - S1_QCS_5 - No Normalization;Peak area - S1_QCS_6 - No Normalization;Peak area - S2_ChickenHeart_2 - No Normalization;Peak area - S2_QCS_1 - No Normalization;Peak area - S2_QCS_2 - No Normalization;Peak area - S2_QCS_3 - No Normalization;Peak area - S2_QCS_4 - No Normalization;Peak area - S2_QCS_5 - No Normalization;Peak area - S2_QCS_6 - No Normalization;Peak area - S3_ChickenLiver_1 - No Normalization;Peak area - S3_QCS_1 - No Normalization;Peak area - S3_QCS_2 - No Normalization;Peak area - S3_QCS_3 - No Normalization;Peak area - S3_QCS_4 - No Normalization;Peak area - S3_QCS_5 - No Normalization;Peak area - S3_QCS_6 - No Normalization;Peak area - S4_GoatLiver_1 - No Normalization;Peak area - S4_QCS_1 - No Normalization;Peak area - S4_QCS_2 - No Normalization;Peak area - S4_QCS_3 - No Normalization;Peak area - S4_QCS_4 - No Normalization;Peak area - S4_QCS_5 - No Normalization;Peak area - S4_QCS_6 - No Normalization;Peak area - S5_ChickenLiver_2 - No Normalization;Peak area - S5_QCS_1 - No Normalization;Peak area - S5_QCS_2 - No Normalization;Peak area - S5_QCS_3 - No Normalization;Peak area - S5_QCS_4 - No Normalization;Peak area - S5_QCS_5 - No Normalization;Peak area - S5_QCS_6 - No Normalization;Peak area - S6_GoatLiver_2 - No Normalization;Peak area - S6_QCS_1 - No Normalization;Peak area - S6_QCS_2 - No Normalization;Peak area - S6_QCS_3 - No Normalization;Peak area - S6_QCS_4 - No Normalization;Peak area - S6_QCS_5 - No Normalization;Peak area - S6_QCS_6 - No Normalization;Peak area - S7_ChickenHeart_3 - No Normalization;Peak area - S7_QCS_1 - No Normalization;Peak area - S7_QCS_2 - No Normalization;Peak area - S7_QCS_3 - No Normalization;Peak area - S7_QCS_4 - No Normalization;Peak area - S7_QCS_5 - No Normalization;Peak area - S7_QCS_6 - No Normalization;Peak area - S8_GoatLiver_3 - No Normalization;Peak area - S8_QCS_1 - No Normalization;Peak area - S8_QCS_2 - No Normalization;Peak area - S8_QCS_3 - No Normalization;Peak area - S8_QCS_4 - No Normalization;Peak area - S8_QCS_5 - No Normalization;Peak area - S8_QCS_6 - No Normalization;Peak area - S9_ChickenHeart_4 - No Normalization;Peak area - S9_QCS_1 - No Normalization;Peak area - S9_QCS_2 - No Normalization;Peak area - S9_QCS_3 - No Normalization;Peak area - S9_QCS_4 - No Normalization;Peak area - S9_QCS_5 - No Normalization;Peak area - S9_QCS_6 - No Normalization
260.186;0.39999999999998;#ff0000;;14.827036857605;154.73277282715;134.63302612305;64.038848876953;50.788349151611;63.819240570068;133.96676635742;14.013231277466;108.27180480957;98.364265441895;56.087024688721;52.503311157227;52.915988922119;100.04782104492;12.392127990723;166.25968933105;125.47073364258;66.432899475098;51.262626647949;51.42797088623;103.96886444092;10.410694122314;282.69451904297;242.36692810059;136.05308532715;117.57649993896;125.97406005859;210.4552154541;22.401035308838;178.02319335938;184.49320983887;163.03033447266;149.99406433105;170.45162963867;194.00459289551;16.131149291992;210.77600097656;217.79441833496;145.39950561523;112.34229278564;89.565330505371;196.60426330566;12.748650550842;145.14562988281;164.35832214355;85.677925109863;74.720924377441;84.054092407227;149.23983764648;13.842091560364;143.73620605469;143.240234375;91.789649963379;93.150131225586;92.984413146973;146.64784240723;7.8610162734985;171.16906738281;159.18974304199;98.468559265137;90.895980834961;77.910636901855;144.72106933594;22.273368835449;299.65258789062;315.71942138672;185.962890625;166.5977935791;161.48960876465;303.46649169922;17.803991317749;272.60745239258;277.36447143555;139.31736755371;148.59893798828;160.05834960938;246.35565185547;30.491611480713;237.31463623047;256.98239135742;180.21992492676;127.54258728027;114.42170715332;193.9899597168;20.018407821655;65.093521118164;64.328536987305;66.194450378418;57.753093719482;60.844749450684;47.324192047119;17.944137573242;53.952907562256;52.488658905029;50.695804595947;42.116672515869;40.240585327148;46.165706634521;15.388737678528;55.867134094238;49.402698516846;55.717620849609;47.005409240723;47.006370544434;38.748527526855;13.906083106995;123.19589233398;138.10464477539;95.962097167969;108.33469390869;103.84741210938;197.05493164062;24.000984191895;207.20307922363;199.87573242188;126.93975067139;106.48139953613;105.47265625;197.11683654785;11.303610801697;137.51699829102;129.28141784668;79.399871826172;67.644439697266;73.310455322266;123.85231018066
267.187;0.39999999999998;#33a02c;;7.9957051277161;109.94213867188;114.89065551758;54.934944152832;41.226715087891;53.161575317383;122.41677093506;9.2605266571045;79.83927154541;80.936210632324;45.683219909668;38.864723205566;33.194416046143;81.490676879883;8.2022228240967;104.1823348999;96.29564666748;58.682712554932;43.712898254395;45.884498596191;89.101692199707;7.6721587181091;159.5140838623;170.34353637695;130.9225769043;109.24197387695;105.72232055664;203.99955749512;8.861159324646;171.82316589355;178.4931640625;124.15781402588;112.06820678711;127.62905883789;177.26182556152;7.8100457191467;174.36572265625;146.9465637207;81.294807434082;64.086387634277;59.974624633789;113.04881286621;8.050971031189;95.443428039551;114.69715118408;67.071434020996;61.189952850342;70.812065124512;111.52182006836;6.7672123908997;121.01037597656;125.1018447876;78.322471618652;75.011993408203;57.75297164917;124.47074890137;6.3088488578796;147.64247131348;136.47314453125;87.584663391113;73.096237182617;50.11372756958;125.91895294189;15.246510505676;252.85493469238;223.50448608398;104.59754943848;100.75203704834;120.63928222656;192.14392089844;12.086643218994;196.71604919434;213.33779907227;107.7541809082;106.40518951416;100.44776153564;201.68840026855;15.800910949707;201.90737915039;178.73156738281;103.97724151611;78.237510681152;82.204742431641;114.46575164795;9.5696983337402;49.579025268555;49.289318084717;49.452331542969;42.284294128418;42.484405517578;36.757148742676;10.537342071533;35.421936035156;36.568172454834;36.835292816162;31.967947006226;30.538431167603;31.549890518188;7.4223127365112;39.634220123291;32.488609313965;37.99112701416;35.567790985107;34.450824737549;29.351343154907;10.075257301331;99.123062133789;119.96298980713;73.352661132812;67.620903015137;65.187026977539;150.80923461914;10.881367683411;148.67726135254;132.02461242676;73.454124450684;66.912094116211;68.623329162598;117.61213684082;9.2066535949707;110.75361633301;99.984580993652;59.006370544434;46.236461639404;44.162284851074;96.437171936035
102.152;0.40000000000001;#ff0000;;8.456127166748;38.831100463867;39.90406036377;44.353145599365;38.180728912354;35.44603729248;35.563106536865;44.45255279541;33.841556549072;32.907032012939;34.094753265381;30.716123580933;30.799421310425;31.286182403564;47.463844299316;32.474761962891;32.831539154053;32.189350128174;28.165307998657;28.421558380127;29.137107849121;8.0706367492676;35.834991455078;37.458511352539;38.248775482178;29.804096221924;28.258750915527;28.708667755127;7.0490965843201;21.900054931641;20.521684646606;22.923652648926;19.601888656616;19.175270080566;18.9709815979;27.199869155884;29.850290298462;29.677579879761;30.920867919922;22.560035705566;23.974189758301;22.658571243286;34.678443908691;29.60075378418;27.544660568237;31.416187286377;26.420541763306;24.431642532349;24.101795196533;6.7106733322144;32.078727722168;30.973592758179;32.617847442627;29.445581436157;29.693508148193;28.836006164551;7.7851376533508;27.423589706421;27.187808990479;28.713762283325;25.28497505188;25.644557952881;25.741933822632;20.02458190918;83.287178039551;82.363975524902;87.203491210938;76.366287231445;72.545402526855;75.82349395752;16.030952453613;78.945083618164;68.05411529541;70.737281799316;60.774559020996;53.775981903076;60.272590637207;68.167510986328;44.770496368408;45.866458892822;39.538227081299;35.547061920166;33.529758453369;44.873641967773;10.379100799561;68.703994750977;65.82527923584;64.735321044922;52.242347717285;55.257785797119;53.021713256836;45.514717102051;52.417945861816;50.720798492432;58.886260986328;47.697219848633;49.511436462402;43.503036499023;7.4586157798767;34.717342376709;36.451343536377;39.270957946777;36.358089447021;38.216987609863;32.582763671875;10.571616172791;24.524391174316;24.282657623291;30.816953659058;32.347663879395;31.097490310669;29.372035980225;8.8705835342407;31.126832962036;29.024803161621;32.582538604736;29.073619842529;28.655408859253;27.089416503906;8.7944612503052;29.898481369019;29.759325027466;31.891660690308;25.473917007446;25.649877548218;24.49610710144
104.146;0.40000000000001;#ff83fa;;876.1396484375;38.12748336792;39.39644241333;24.738611221313;22.38010597229;22.416402816772;45.60143661499;1251.5289306641;28.469058990479;24.625217437744;17.971811294556;15.2102394104;15.482498168945;25.290199279785;1301.1030273438;24.610996246338;20.83652305603;20.088399887085;17.893602371216;17.420288085938;23.851387023926;744.67248535156;42.571964263916;38.083374023438;25.20756149292;25.289535522461;25.98251914978;39.212188720703;790.30120849609;33.925437927246;34.228549957275;28.724426269531;25.331287384033;26.714042663574;37.639240264893;1327.9600830078;35.238372802734;31.319019317627;26.250089645386;22.579179763794;20.947649002075;27.843811035156;1123.54296875;26.650867462158;25.302103042603;18.08882522583;16.987941741943;17.412097930908;25.518598556519;717.81243896484;28.853666305542;25.701953887939;19.249366760254;18.479032516479;17.486217498779;27.851181030273;606.04357910156;31.608592987061;31.301961898804;19.748319625854;19.221551895142;18.164073944092;29.308729171753;1460.5087890625;61.041912078857;64.838966369629;48.7571144104;50.380779266357;53.035678863525;64.503524780273;1189.0230712891;47.104354858398;48.957347869873;43.033546447754;39.168506622314;40.132091522217;57.585552215576;1900.9686279297;45.814640045166;51.783027648926;45.549854278564;38.850482940674;36.865295410156;53.141124725342;814.52313232422;34.272895812988;32.986152648926;32.982479095459;28.464950561523;30.017154693604;24.40919303894;1222.4310302734;14.627996444702;14.911019325256;26.654582977295;23.894281387329;24.08219909668;11.413579940796;609.04284667969;14.289896965027;13.851781845093;24.949192047119;21.588094711304;22.276441574097;12.094099998474;896.30462646484;23.911027908325;27.481283187866;19.11997795105;21.75864982605;20.490795135498;37.602142333984;908.22930908203;36.731399536133;34.040447235107;23.142436981201;21.846477508545;21.028102874756;33.612468719482;742.7548828125;28.722188949585;30.345556259155;17.806486129761;16.846061706543;16.762172698975;28.880819320679
116.105;0.40000000000001;#c814fa;;15.821979522705;23.18222618103;23.999359130859;24.113695144653;22.572780609131;22.661245346069;24.604742050171;65.020263671875;21.244812011719;20.413156509399;20.770124435425;20.493883132935;20.980613708496;21.138750076294;47.051551818848;22.815414428711;22.891672134399;21.854343414307;20.001480102539;19.73738861084;20.476209640503;8.3858938217163;24.896776199341;23.505262374878;20.386611938477;20.681631088257;21.48229598999;23.987632751465;22.796993255615;20.1771068573;20.612232208252;23.067083358765;21.337354660034;21.523664474487;21.650259017944;73.050132751465;20.367437362671;19.27067565918;19.644470214844;16.484977722168;16.411861419678;16.902479171753;55.47774887085;20.786329269409;19.892730712891;20.399217605591;18.447116851807;18.597579956055;18.514595031738;16.625205993652;20.035852432251;19.764713287354;18.847810745239;18.552099227905;17.926963806152;20.249160766602;7.3542947769165;20.852653503418;20.619050979614;19.841110229492;17.989238739014;17.329515457153;18.896451950073;19.18458366394;45.86646270752;45.48046875;40.041835784912;38.431793212891;37.852230072021;42.414009094238;16.040451049805;38.896656036377;37.777339935303;35.072010040283;33.190227508545;32.207263946533;36.862075805664;140.28759765625;28.855226516724;30.353485107422;27.919902801514;27.881517410278;26.817518234253;33.044799804688;24.122493743896;41.60343170166;40.529308319092;40.920093536377;34.757717132568;35.298252105713;31.027238845825;74.493499755859;27.838525772095;26.127330780029;29.480951309204;26.217752456665;25.86297416687;23.599576950073;17.585893630981;23.591159820557;22.966941833496;24.376642227173;23.266637802124;23.850931167603;20.501977920532;10.869233131409;18.173072814941;18.532098770142;18.714010238647;23.394962310791;22.748170852661;24.912698745728;23.614080429077;24.520362854004;24.493677139282;25.110404968262;23.133222579956;23.483551025391;23.879577636719;9.0998506546021;23.941709518433;24.340131759644;22.133455276489;18.98217010498;17.816650390625;22.250228881836
118.148;0.40000000000001;#0000ff;;21.13260269165;21.486028671265;21.267709732056;15.796621322632;14.168371200562;14.905500411987;20.919412612915;99.819091796875;19.801443099976;18.838653564453;13.794938087463;12.349942207336;12.231183052063;17.857336044312;81.674346923828;22.235326766968;18.625450134277;12.129964828491;11.155512809753;10.262783050537;16.17594909668;20.0738697052;36.807312011719;34.58332824707;27.362493515015;22.824449539185;23.464450836182;29.994354248047;30.024082183838;24.25509262085;23.858097076416;22.502634048462;19.636180877686;19.90452003479;23.1201171875;106.03203582764;27.4557762146;25.567939758301;24.056318283081;19.13844871521;18.308778762817;21.028308868408;82.640022277832;17.549602508545;17.300695419312;14.110801696777;12.700516700745;12.747434616089;15.726998329163;20.718185424805;19.225200653076;18.74468421936;15.030675888062;14.644371986389;13.810382843018;18.530040740967;13.431009292603;17.012594223022;17.213134765625;13.303097724915;11.893683433533;11.287284851074;14.986459732056;38.69482421875;60.424926757812;58.183006286621;40.424381256104;38.15340423584;38.789058685303;52.020957946777;32.580303192139;42.499462127686;42.549415588379;34.022850036621;32.346103668213;31.818323135376;43.134231567383;213.81964111328;40.276996612549;41.267635345459;29.641393661499;24.62043762207;23.961324691772;38.446838378906;32.48217010498;34.445934295654;34.1881980896;27.542490005493;22.372510910034;23.656581878662;27.268825531006;117.75714111328;19.520467758179;18.437417984009;21.407390594482;18.266038894653;17.76831817627;14.98347568512;25.733562469482;17.477970123291;16.726099014282;19.563716888428;17.323999404907;17.831926345825;15.072407722473;24.248804092407;22.916210174561;24.565237045288;20.262119293213;20.763799667358;20.820873260498;27.450830459595;28.567176818848;26.967090606689;25.068206787109;20.396684646606;17.860466003418;17.264507293701;22.340091705322;19.037448883057;24.632562637329;25.767854690552;19.111297607422;16.220561981201;15.986663818359;21.456390380859
120.141;0.40000000000001;#36648b;;5.8353643417358;9.1098861694336;9.279577255249;9.9432697296143;9.316234588623;9.1327085494995;9.0708274841309;26.897686004639;8.2907075881958;8.3182573318481;8.6932039260864;8.4669466018677;8.6056365966797;8.188138961792;19.627418518066;8.2109680175781;8.1391315460205;8.2244520187378;7.6400814056396;7.5381464958191;7.3440399169922;7.7756924629211;7.1922693252563;7.3043494224548;7.286572933197;7.217387676239;7.3587322235107;7.0804243087769;7.2328996658325;6.3776941299438;6.5482678413391;7.2620973587036;6.8644909858704;6.8486232757568;6.6307511329651;31.718906402588;6.1470284461975;6.0540771484375;6.3106260299683;5.505576133728;5.6050562858582;5.3641963005066;24.431728363037;8.2013683319092;7.9073386192322;8.7061080932617;7.7836308479309;7.6861333847046;7.3493232727051;5.5291633605957;8.1683654785156;7.9425120353699;8.2769317626953;7.8536624908447;7.5334811210632;7.8730382919312;4.376651763916;7.5739846229553;7.5415134429932;7.6859049797058;6.8655824661255;6.8462781906128;6.7725481987;12.193710327148;13.019129753113;12.844316482544;13.61812210083;12.600665092468;12.114185333252;12.092146873474;9.4487752914429;12.233170509338;11.602122306824;11.885174751282;10.933947563171;10.608588218689;11.006660461426;61.461322784424;9.8170080184937;9.7918224334717;9.9274492263794;9.0749082565308;8.8860368728638;9.5621862411499;7.318425655365;14.803977966309;14.344574928284;14.632917404175;12.442468643188;12.949531555176;11.478270530701;27.326375961304;10.75007724762;10.26473236084;11.30828666687;10.28163433075;10.356795310974;8.985330581665;5.5893626213074;9.181468963623;9.0301074981689;9.6650152206421;9.3064184188843;9.4244928359985;8.3425664901733;7.6922497749329;6.3537764549255;6.2821736335754;7.1079783439636;8.0650243759155;7.958438873291;7.7557764053345;7.1980314254761;8.3922834396362;8.1752023696899;8.880633354187;8.0318775177002;8.0315046310425;7.8012661933899;6.0271940231323;7.4967274665833;7.5571117401123;7.7025957107544;6.9288668632507;6.7371888160706;7.0560412406921
132.125;0.30000000000001;#00e2e5;;55.064254760742;27.640802383423;28.400815963745;22.795629501343;21.103340148926;21.680807113647;29.799407958984;69.722503662109;25.427955627441;23.531135559082;17.677568435669;16.044750213623;15.833543777466;22.363151550293;63.854785919189;27.027826309204;24.709079742432;18.865858078003;16.679180145264;15.927758216858;22.721862792969;214.48905944824;46.437641143799;43.009971618652;34.478054046631;32.260078430176;33.613704681396;40.440414428711;82.934593200684;35.221240997314;34.706974029541;35.023284912109;31.241415023804;32.847434997559;35.176963806152;100.83527374268;36.688938140869;34.278003692627;32.683971405029;27.350646972656;26.925508499146;30.062339782715;69.219680786133;24.231874465942;24.601015090942;21.139482498169;19.167766571045;19.039428710938;22.556028366089;47.957820892334;24.075309753418;23.647245407104;19.401359558105;19.383922576904;18.845827102661;24.188747406006;154.62203979492;25.434837341309;25.29280090332;20.065799713135;17.957681655884;16.478637695312;23.020057678223;486.9299621582;78.309043884277;79.722305297852;60.601856231689;60.001689910889;62.780574798584;77.533966064453;415.81649780273;68.517036437988;68.528610229492;53.787990570068;49.943279266357;50.505344390869;69.858009338379;174.29640197754;60.409423828125;61.54821395874;43.491954803467;37.064746856689;35.927085876465;56.640308380127;79.084434509277;36.258014678955;36.397872924805;32.801574707031;27.645090103149;28.753921508789;27.595808029175;103.69116973877;25.070571899414;24.211019515991;29.437845230103;25.164875030518;24.462615966797;19.644144058228;66.256004333496;22.223724365234;21.779502868652;26.720588684082;23.878177642822;24.337985992432;18.801496505737;280.75289916992;29.107400894165;30.724847793579;23.96381187439;24.255096435547;23.80295753479;34.155822753906;85.558067321777;34.867164611816;33.663722991943;28.963302612305;26.046712875366;25.307241439819;31.621147155762;223.44033813477;32.570728302002;32.938659667969;23.994426727295;19.501848220825;18.344459533691;27.798175811768
140.122;0.30000000000001;#00ff00;;17.692844390869;22.355625152588;23.248569488525;22.099645614624;20.089111328125;20.262670516968;24.779424667358;63.718364715576;19.577484130859;18.891038894653;18.725290298462;17.03182220459;16.866291046143;18.813692092896;70.945785522461;19.323026657104;18.637042999268;19.56902885437;16.923313140869;16.063013076782;17.283428192139;22.319452285767;44.128803253174;42.784564971924;39.032581329346;37.880832672119;38.524101257324;44.001903533936;23.863445281982;39.840175628662;39.858505249023;39.767902374268;34.030151367188;33.933261871338;39.281211853027;73.609764099121;32.75382232666;31.549160003662;32.539047241211;28.297441482544;27.983037948608;28.776020050049;66.070671081543;24.023490905762;22.221496582031;21.362600326538;18.283266067505;18.502672195435;20.511405944824;14.451827049255;21.732646942139;21.446922302246;20.142560958862;20.018613815308;19.541357040405;21.848823547363;14.594925880432;21.465002059937;21.469940185547;18.511730194092;15.711539268494;15.159511566162;19.380502700806;46.278751373291;146.9599609375;139.3991394043;167.12554931641;123.36786651611;100.66096496582;106.97521972656;36.232192993164;100.32955932617;83.394989013672;90.494956970215;68.269508361816;61.267471313477;68.485244750977;115.89601135254;53.331829071045;56.062637329102;51.90132522583;41.906829833984;41.190246582031;51.497604370117;20.036876678467;33.719612121582;32.803897857666;31.526699066162;25.769861221313;26.516622543335;24.349935531616;79.195915222168;29.438274383545;28.096017837524;30.10546875;25.245611190796;24.701574325562;23.193910598755;16.462219238281;24.767896652222;23.638359069824;24.856502532959;22.94270324707;23.741271972656;22.260038375854;22.932094573975;26.713298797607;27.045261383057;30.213621139526;32.251850128174;31.499664306641;34.152160644531;25.169322967529;38.45166015625;37.360809326172;36.227615356445;30.913234710693;30.356380462646;34.138484954834;22.297218322754;31.91534614563;32.59741973877;29.632261276245;25.670230865479;24.688682556152;29.94220161438
147.12;0.30000000000001;#778b00;;62.822532653809;64.79256439209;63.492492675781;65.254402160645;60.303447723389;61.031593322754;60.939376831055;113.35813140869;68.209892272949;66.099548339844;63.759090423584;66.230392456055;66.154449462891;65.592704772949;95.60188293457;70.857307434082;68.790725708008;60.92756652832;57.395687103271;55.739547729492;57.729312896729;63.395622253418;59.750820159912;60.253662109375;68.231903076172;75.154335021973;76.115493774414;70.375480651855;108.51773071289;61.2444190979;65.253631591797;81.767616271973;72.005928039551;70.498435974121;65.7421875;184.60316467285;55.410991668701;55.033946990967;61.762847900391;52.964286804199;55.837882995605;49.449230194092;115.03835296631;72.616767883301;70.081275939941;78.18132019043;67.624649047852;67.008827209473;63.983104705811;56.49435043335;55.301795959473;54.836563110352;57.753765106201;58.277877807617;57.378910064697;56.869762420654;44.756168365479;63.870887756348;62.523151397705;65.706504821777;57.103328704834;57.710933685303;56.784317016602;157.51371765137;154.49244689941;160.62211608887;182.67570495605;170.71594238281;162.01020812988;157.51956176758;123.67137145996;165.24301147461;152.50854492188;160.73699951172;145.86476135254;131.35348510742;139.16539001465;337.19769287109;98.241157531738;104.74796295166;110.75617218018;107.04605865479;105.28507232666;115.66651916504;107.39446258545;136.27586364746;133.56188964844;130.42742919922;107.80666351318;108.86108398438;103.69242095947;144.71829223633;72.048980712891;64.876350402832;80.725448608398;74.04337310791;75.754722595215;54.947643280029;72.467445373535;77.521102905273;75.421371459961;77.553375244141;72.068290710449;72.526992797852;65.814781188965;77.506469726562;48.539852142334;50.214866638184;67.87629699707;89.156951904297;88.137512207031;81.758888244629;98.380882263184;79.327133178711;79.344635009766;90.924133300781;79.973937988281;80.563301086426;76.98966217041;55.267524719238;63.64448928833;64.675254821777;68.947845458984;64.383522033691;63.067489624023;63.014560699463
