"","Peak area - S10_GoatLiver_4 - No Normalization","Peak area - S10_QCS_1 - No Normalization","Peak area - S10_QCS_2 - No Normalization","Peak area - S10_QCS_3 - No Normalization","Peak area - S10_QCS_4 - No Normalization","Peak area - S10_QCS_5 - No Normalization","Peak area - S10_QCS_6 - No Normalization","Peak area - S11_ChickenLiver_3 - No Normalization","Peak area - S11_QCS_1 - No Normalization","Peak area - S11_QCS_2 - No Normalization","Peak area - S11_QCS_3 - No Normalization","Peak area - S11_QCS_4 - No Normalization","Peak area - S11_QCS_5 - No Normalization","Peak area - S11_QCS_6 - No Normalization","Peak area - S12_ChickenLiver_4 - No Normalization","Peak area - S12_QCS_1 - No Normalization","Peak area - S12_QCS_2 - No Normalization","Peak area - S12_QCS_3 - No Normalization","Peak area - S12_QCS_4 - No Normalization","Peak area - S12_QCS_5 - No Normalization","Peak area - S12_QCS_6 - No Normalization","Peak area - S13_ChickenHeart_5 - No Normalization","Peak area - S13_QCS_1 - No Normalization","Peak area - S13_QCS_2 - No Normalization","Peak area - S13_QCS_3 - No Normalization","Peak area - S13_QCS_4 - No Normalization","Peak area - S13_QCS_5 - No Normalization","Peak area - S13_QCS_6 - No Normalization","Peak area - S14_GoatLiver_5 - No Normalization","Peak area - S14_QCS_1 - No Normalization","Peak area - S14_QCS_2 - No Normalization","Peak area - S14_QCS_3 - No Normalization","Peak area - S14_QCS_5 - No Normalization","Peak area - S14_QCS_5 - No Normalization.1","Peak area - S14_QCS_6 - No Normalization","Peak area - S15_ChickenLiver_5 - No Normalization","Peak area - S15_QCS_1 - No Normalization","Peak area - S15_QCS_2 - No Normalization","Peak area - S15_QCS_3 - No Normalization","Peak area - S15_QCS_4 - No Normalization","Peak area - S15_QCS_5 - No Normalization","Peak area - S15_QCS_6 - No Normalization","Peak area - S16_ChickenLiver_6 - No Normalization","Peak area - S16_QCS_1 - No Normalization","Peak area - S16_QCS_2 - No Normalization","Peak area - S16_QCS_3 - No Normalization","Peak area - S16_QCS_4 - No Normalization","Peak area - S16_QCS_5 - No Normalization","Peak area - S16_QCS_6 - No Normalization","Peak area - S17_GoatLiver_6 - No Normalization","Peak area - S17_QCS_1 - No Normalization","Peak area - S17_QCS_2 - No Normalization","Peak area - S17_QCS_3 - No Normalization","Peak area - S17_QCS_4 - No Normalization","Peak area - S17_QCS_5 - No Normalization","Peak area - S17_QCS_6 - No Normalization","Peak area - S18_ChickenHeart_6 - No Normalization","Peak area - S18_QCS_1 - No Normalization","Peak area - S18_QCS_2 - No Normalization","Peak area - S18_QCS_3 - No Normalization","Peak area - S18_QCS_4 - No Normalization","Peak area - S18_QCS_5 - No Normalization","Peak area - S18_QCS_6 - No Normalization","Peak area - S1_ChickenHeart_1 - No Normalization","Peak area - S1_QCS_1 - No Normalization","Peak area - S1_QCS_2 - No Normalization","Peak area - S1_QCS_3 - No Normalization","Peak area - S1_QCS_4 - No Normalization","Peak area - S1_QCS_5 - No Normalization","Peak area - S1_QCS_6 - No Normalization","Peak area - S2_ChickenHeart_2 - No Normalization","Peak area - S2_QCS_1 - No Normalization","Peak area - S2_QCS_2 - No Normalization","Peak area - S2_QCS_3 - No Normalization","Peak area - S2_QCS_4 - No Normalization","Peak area - S2_QCS_5 - No Normalization","Peak area - S2_QCS_6 - No Normalization","Peak area - S3_ChickenLiver_1 - No Normalization","Peak area - S3_QCS_1 - No Normalization","Peak area - S3_QCS_2 - No Normalization","Peak area - S3_QCS_3 - No Normalization","Peak area - S3_QCS_4 - No Normalization","Peak area - S3_QCS_5 - No Normalization","Peak area - S3_QCS_6 - No Normalization","Peak area - S4_GoatLiver_1 - No Normalization","Peak area - S4_QCS_1 - No Normalization","Peak area - S4_QCS_2 - No Normalization","Peak area - S4_QCS_3 - No Normalization","Peak area - S4_QCS_4 - No Normalization","Peak area - S4_QCS_5 - No Normalization","Peak area - S4_QCS_6 - No Normalization","Peak area - S5_ChickenLiver_2 - No Normalization","Peak area - S5_QCS_1 - No Normalization","Peak area - S5_QCS_2 - No Normalization","Peak area - S5_QCS_3 - No Normalization","Peak area - S5_QCS_4 - No Normalization","Peak area - S5_QCS_5 - No Normalization","Peak area - S5_QCS_6 - No Normalization","Peak area - S6_GoatLiver_2 - No Normalization","Peak area - S6_QCS_1 - No Normalization","Peak area - S6_QCS_2 - No Normalization","Peak area - S6_QCS_3 - No Normalization","Peak area - S6_QCS_4 - No Normalization","Peak area - S6_QCS_5 - No Normalization","Peak area - S6_QCS_6 - No Normalization","Peak area - S7_ChickenHeart_3 - No Normalization","Peak area - S7_QCS_1 - No Normalization","Peak area - S7_QCS_2 - No Normalization","Peak area - S7_QCS_3 - No Normalization","Peak area - S7_QCS_4 - No Normalization","Peak area - S7_QCS_5 - No Normalization","Peak area - S7_QCS_6 - No Normalization","Peak area - S8_GoatLiver_3 - No Normalization","Peak area - S8_QCS_1 - No Normalization","Peak area - S8_QCS_2 - No Normalization","Peak area - S8_QCS_3 - No Normalization","Peak area - S8_QCS_4 - No Normalization","Peak area - S8_QCS_5 - No Normalization","Peak area - S8_QCS_6 - No Normalization","Peak area - S9_ChickenHeart_4 - No Normalization","Peak area - S9_QCS_1 - No Normalization","Peak area - S9_QCS_2 - No Normalization","Peak area - S9_QCS_3 - No Normalization","Peak area - S9_QCS_4 - No Normalization","Peak area - S9_QCS_5 - No Normalization","Peak area - S9_QCS_6 - No Normalization"
"102.152",3.58789193769124,47.9824650119962,49.3451746426883,56.3364611887669,47.0716413034889,42.5185886751847,42.9613470055277,57.0708087715094,40.9450299898872,39.6365080725412,41.497768228342,36.5766722470576,36.4471524481098,37.1808212117895,62.277541715735,39.0683701785179,39.5702586981837,38.7111711002978,32.4273823185462,32.5834153314176,33.833065122884,7.05286315280445,52.2061075838937,54.8006008398899,56.5332983168932,42.1680804618703,39.449963634936,40.3373303984294,5.40953484777202,29.133319984505,26.7642865087429,30.7743055963838,25.4094153045744,25.4094153045744,24.3515742600714,39.4573101693249,42.7680148556894,42.4418760241504,44.5425308243611,30.2931454302016,32.9711117125439,30.6644544126587,51.8372611093131,42.1238152274187,38.8773249270394,45.4799486122653,37.1168398931413,33.728580397189,33.0510123683056,3.82278904611217,45.5236494563056,43.4929664548658,46.1159503910033,40.9258603223439,41.3876294213644,40.0926624261391,4.89234040336957,37.8297311944498,37.7806071576415,40.0828407717967,34.1935245863948,34.8167219547696,35.1003202532775,18.5587230195606,61.5435639213544,64.2209790662094,60.7715404569174,56.7952859852721,56.1986807421972,54.2411954465717,15.9230463521792,58.7006982601224,53.045091442756,51.3979642341752,46.3252287481852,45.978799513863,41.391467062204,52.7407778214406,35.7086266831027,36.3230177923297,32.292128867455,29.341628982787,35.6808731119642,28.0127655487544,12.6244947781102,52.3468887190631,50.1836290096194,49.3003492760555,40.8011122291775,42.4919150789724,41.2714195450077,37.0556235143247,41.152396600793,40.0840450059664,45.4693653519391,38.0821092036301,39.1553056385349,35.0389704161716,10.9308408866643,29.1725950352793,30.1738988831156,32.0925842692535,30.2301963367121,31.6379827819646,27.5619096737472,7.55116861312687,27.1894040622296,27.0129531818022,36.585945700848,38.947259881826,36.98907446218,34.5872359052445,4.65497446458288,37.1020838107309,33.8543581621234,39.0810601679157,33.8030007315577,33.0931130753285,30.8397647855779,4.18296380125339,34.8310806153064,34.6123185500711,37.6965273459066,28.2644178324943,28.6039788352654,26.7913496136346
"104.146",999.579860935364,61.178977660612,62.3060846587604,46.8632677227929,43.8638238673003,43.3253212996932,69.7003233932288,1426.33241400165,51.341495365353,46.9216604324324,39.3213057230719,36.2765417629922,36.3195166739954,47.9213981831134,1514.28001026425,47.1007479424934,43.0130929293828,41.8520458893914,38.605286359473,37.7975955976852,45.9188182371832,922.903416937368,72.2264218758593,66.7826216289754,51.3746722379024,51.0445965390516,51.4155409614982,67.8440675316492,969.526857525047,61.0008845295283,62.6879205806747,54.8733656562821,50.9944358853917,50.9944358853917,65.4787924724945,1631.06367342047,64.1110769488409,58.541507518292,53.5000661626772,48.6292234371956,46.2575040871388,54.7964353393686,1385.45062171248,53.9461692437964,50.8459829832629,43.0717843001738,41.5003234410385,41.6806940185852,51.273645977567,893.670128402863,53.9607923810525,51.6712951333848,42.6916963588239,41.5318237100647,40.5046306396776,53.4169953339579,772.684681705955,59.3658294876949,58.5883266018927,43.7893847309193,43.3384304599588,42.0939541734521,54.76207119871,1078.9477115721,27.7392319149135,18.7781407243699,29.5622314468304,19.8990959923094,29.9490481439201,22.1399593918023,864.738673281895,17.6487970754594,14.4012348178869,19.6107411627126,11.832919733745,25.6637483251912,12.1245175814225,1398.16889293458,17.4596210207456,21.1018831342413,17.6001179346063,11.5872208939261,22.3707047853265,10.2865222661609,571.157983948593,8.95046937862196,7.87197535002753,7.52349344107861,4.23318910839157,4.89517969997189,1.08993687624329,893.025332586421,-6.04197427860367,-5.59044116587066,2.97916990145288,1.06182930830781,1.0764158334965,-8.35886796491209,425.488724383514,-5.99047125647226,-6.51003507029876,1.39504024308303,-0.836490659208579,0.0384679983227443,-7.8069784016694,1053.83575351699,45.5274450221697,49.5920679717592,40.2568856778433,43.4883144292952,41.5495376720805,60.6955893177365,1051.50897340085,59.908143798522,56.8452557125162,44.4610650497236,43.1013009248024,42.6437097113514,56.6562522540719,870.380596694458,51.3960526609962,52.9523757706307,38.558941592383,37.6765766471304,37.5227532679532,51.0296868673632
"116.105",14.2033441546328,25.5550609579222,26.7508858647035,27.2481117765886,24.8304327029596,24.6953806269587,27.7522164070369,90.7236891552566,23.7185198928252,22.4086275795959,22.9284921251361,22.6098086846325,23.2719377710639,23.6105928281091,64.1988955366706,26.2964710415133,26.3646173160524,24.7063853952566,21.5834353536806,21.0209546509295,22.4180876635621,8.78549698829848,31.0769072605379,29.2721992151114,25.2527316694667,25.3464556732475,26.1696103589781,29.6941155669496,28.041426834141,24.521324355937,25.4259959408687,28.3719712205495,26.1809568371474,26.1809568371474,26.4352144812973,95.9427284432861,25.3107409540958,23.5731694300703,24.5502791993938,20.1491506553599,19.8750168825613,20.5921204319165,72.346722175927,25.9159732852077,24.4164249777561,25.254595934392,22.6659593802951,22.7528111417265,22.6358323483434,18.9027746323426,23.42788700906,23.4117521791997,21.8819006284563,21.4534746721037,20.6892562958889,23.8568390456514,6.73693287549065,25.6566004045566,25.3959429687574,24.1336874946363,21.7199956041612,20.8188712301628,22.80527870733,15.6219743161408,34.8865903874409,30.880181404703,34.2965508977781,29.6881551336747,32.3479219420005,29.4300269207603,13.5142753647368,30.0562656718358,27.3434442051814,29.409952399823,26.2148738575167,28.7353208961766,25.3610276837003,101.437892105065,22.9485443995085,23.8631634521202,22.4487859842936,22.1241587698376,25.5839149599512,21.5403973662102,19.6279795847223,32.2127399115175,31.297537127947,31.4103282447953,27.164729875833,27.2707068271935,24.7199401936113,55.3711948987526,22.8615406898142,21.7181321923605,23.9421974472837,21.7377857916536,21.4403781768658,19.8731399694937,15.5305615184046,19.9303336906585,19.3957843807889,20.3490832204793,19.6035714239623,20.1677454109453,17.6742108844638,7.43572029307781,18.7319274029259,19.3459940646365,19.64580163982,26.9951704556593,25.7373041739837,29.1574065876551,26.8438002516811,28.1749666781813,28.157186564078,29.118192870884,26.1474045732502,26.7535174397315,27.2688306304821,3.90388374374648,27.3929547293765,27.8706284227605,24.2891404617675,19.4894872645766,17.6654011398736,24.3818599172612
"118.148",24.4972745313316,24.8824677886954,24.4684309414013,17.1067242177027,14.5948809159298,15.4795425556501,24.1796601940621,138.725369844191,23.607396672878,22.2740482761596,14.9125103488066,12.9314121568654,12.6267155430727,21.0310457210775,114.097461747221,27.4795161914124,22.3348259386797,12.6696474522651,10.8095282076034,9.45550706187434,18.323203789506,24.4196706100345,47.3729358521698,44.2122609387399,34.6080655706653,27.9182251440552,28.4423274670296,37.664832909377,38.0478971626945,29.5576008760527,29.6964132182352,27.3333686071444,23.4948401139302,23.4948401139302,27.9543465724632,143.581269888,35.1346721655203,32.0337423994977,30.7525957964277,23.532845658747,22.1203075569268,25.9750310423783,111.460695668218,21.3829137963734,20.4488203848651,16.5068625724214,14.4218486373058,14.3365168211636,18.3998398476129,24.4880191007147,21.9058336195087,22.0988727765177,16.3661056749489,15.6276818256458,14.5172790020696,21.3173192164299,14.8001053718341,20.4496822958579,20.6438592804895,14.9177023530195,13.0644702112965,12.2119035942261,17.0147370559405,28.1846523007169,43.9818928697077,30.0412115846673,41.672528340366,28.4043013056061,37.8149837954701,28.9526476776414,23.9852532814855,31.5520064050257,25.5184896029985,32.0573176007948,24.4730700377535,32.0784717476387,23.8720566296412,153.428283244922,30.3346857663378,30.5672589032323,22.9435679756423,18.9202942027886,28.77755151594,18.5336685542341,24.1963940326004,26.4636952250219,26.1482574741486,21.264501169587,17.6246326625814,18.243180448798,21.0603177231545,85.4441112103302,15.7072455546269,15.1236453775221,17.0647786476692,14.9658213304303,14.5035812556694,12.5371748373995,20.0122688665301,14.5286973119534,13.7789765085792,15.610821784852,14.1924728493861,14.7184988673635,12.5637473214143,30.1427135484458,27.6571009240879,29.9597300774129,23.9474815088405,24.9260392027358,24.6750898151126,34.0159748438768,36.0128987223275,33.1431577671355,30.4154417814499,23.7459084827025,20.1900803772445,19.4350282556039,26.6409990807344,21.6914593590949,30.1698142818142,31.5290639972288,21.718362477232,17.7617322557235,17.3888076106916,25.1041811005806
"120.141",6.15851425107895,11.4728392546223,11.8081367021816,12.9922728822661,11.7783962438337,11.4461397490997,11.4178760666542,40.548138146199,10.9038028409774,10.9337482396538,11.5477841246789,11.0744367617564,11.3931822639111,10.672324246167,29.1924005381276,10.7797190062751,10.4623387683718,10.7795276281736,9.60124430278106,9.51347709992743,9.09600159422635,10.6505261779432,9.94674702441981,10.1162427209037,10.0332462491455,9.89786534099506,10.088639397184,9.71751926199378,10.211844656973,8.81083548519054,9.02806298392415,10.0759375948154,9.53505992124094,9.53505992124094,9.12695400008936,42.6623955149963,8.95130687160457,8.81688749137549,9.18898521082999,7.94894334722397,8.1032182481528,7.79636856599175,33.0207591962755,11.7412397293491,11.3176215282628,12.2813738707349,11.1253332354244,10.9545443857821,10.5125243805837,7.37081681068453,10.8678660710774,10.5018926113511,10.9770269712075,10.3847442981601,10.0020450695039,10.4208513081215,6.45209509953819,10.9551273545411,10.8771219352304,11.1164207299895,9.82972469176578,9.79806775900534,9.78560062626437,10.9644134546811,11.5569529248423,12.0002146761256,11.3910916682703,11.2158307953791,10.7696313736794,10.8219427435113,8.9020898564782,10.9356187105274,10.6538233228492,10.402444469814,9.97055781369158,9.91863928345429,9.67458635799916,46.4897334638313,9.4180627661485,9.39316323892316,9.50247417409003,8.78248811652004,9.13212796395557,8.63632789834552,7.60362227945104,13.1292562426897,12.6908751252246,12.9342684517658,11.212159205044,11.5409825354358,10.5035807580739,22.1112150601282,10.2695737762442,9.90563708916131,10.6346246148124,9.88014962970543,9.89558915479464,8.9113607382007,6.56935094261088,9.07620538960479,8.93324296536208,9.35629338492238,9.16425255454006,9.25022669431569,8.4332178833653,10.2452496971102,7.82695079983877,7.70706598151174,9.18151897420236,10.8166986803651,10.5858349065421,10.160506871025,9.02559856352193,10.6367791543809,10.308146788261,11.5862059156445,10.0261443746696,9.99688010120472,9.59764277787989,6.52528887558221,8.95789290920798,9.09218156676838,9.27263001963145,7.98305505404957,7.62927379710314,8.19130456670432
"132.125",70.3465814634433,34.8374922545368,35.6564166108652,29.1875788154748,26.7819061227793,27.0277682940423,37.5964343058079,90.620904183543,32.7396583788065,30.2734636701973,22.652697853967,20.649506603292,20.1336582045501,28.9174885088649,83.6797478478046,35.1318305210916,32.3544838097793,24.39453401099,20.9608667642611,19.7853425170977,29.1471093792117,347.345367685519,64.1498530402657,58.3292529574945,44.8841746654798,40.4391139206151,42.0070766475058,53.6538272459632,124.709055134502,44.6441545856081,45.2591148950064,44.69887317966,38.6447526179655,38.6447526179655,44.6940204795328,154.872999114279,48.6557724065359,43.8364251637669,42.5976665962903,33.1556604699931,32.0364625019621,37.2527348430349,102.336045778577,28.1734051924455,27.5695866071068,22.8607200086879,19.2717962551962,18.8765023430113,24.4474523762263,67.3944739481941,26.6203808617356,27.252652487392,19.276985249957,18.8331203353311,18.0776705857178,27.3893012543202,243.546212536176,30.3847529825889,29.9861621258224,20.8388569581653,17.2098607133378,14.8460080214582,24.8980966135042,340.615962449712,55.2013483997441,43.0406342322657,55.2067646140985,42.3801478457287,54.1568677994202,44.5508058232304,289.430116220496,48.6003994865684,38.0727508668104,49.4545274721146,35.5467022287054,49.6251302670662,35.4796944798118,123.85928677872,43.3478704503569,43.2138390381294,31.5347860016592,26.0967662120374,40.0494595661335,25.4544169820902,54.5665160902084,26.3592908114334,26.3836849952825,23.5328067258569,19.8398357660049,20.3041448527875,19.7614863263273,73.5423848785354,17.7056523583844,17.3955104288211,20.8939644954738,18.0288467810129,17.3912122038642,13.8791685318023,46.3154837883247,16.0789154529022,15.5093429562871,18.7645129812955,16.9379530431355,17.5581944637555,13.25117014797,370.918915503783,37.0361342049234,39.2475853229095,30.7575158937688,31.410994077621,30.299632137954,43.488123571121,112.18853899261,44.5023202057907,42.9053845047497,36.8158705442601,33.0189175614294,32.5335866513659,40.4350563677113,292.104962207388,41.9634733061102,42.0445955561583,30.1647034541548,24.5571700468727,23.0058185280666,35.0077161548384
"140.122",16.8191865170669,28.1635969294272,30.1136402633784,28.9542722052131,24.6252660262084,24.5597791670183,32.7772997268933,103.23203794824,23.8207025938707,22.6382358553986,22.4466541370978,19.3166505697966,18.6929756106676,22.1415983425198,117.966150570626,23.3279660502316,21.8558991220089,23.7680306834078,17.6711228962225,15.9693224174995,18.5611369715076,26.9526978353418,72.0101868435702,69.405838156404,64.2143697317427,61.28963515306,62.0882936170187,71.6952648109403,29.9215131248607,63.0968814944429,64.3912298894419,65.2246114208587,53.4544056849207,53.4544056849207,61.6425180954506,119.866193894581,48.9369039050066,46.3790922228385,49.5929228549169,39.9978493358379,39.5329956658702,40.5446957796452,106.035499284885,31.9217390543751,27.4451394569148,26.7859140661883,20.353724009673,20.5256750681051,23.7914681844719,10.7109620977056,27.1884288046591,27.268666584232,24.5743840358538,23.9341146766282,22.7513741475685,27.5856332026268,9.65941349584504,27.1824590329123,27.031857497166,21.2838709704369,15.2261715690096,14.2683215178495,21.6583406911994,34.7209479391597,108.616714037114,122.835767264439,103.66384233142,92.6246077513073,80.8220058945498,77.2595545992895,28.7759471317017,76.7159537469925,70.4032671947959,65.2312297677209,55.0407632444528,54.830971518158,49.6028163186797,83.6629422520187,43.8376982871242,45.7868532263483,43.4631700812393,35.7265196628493,42.4992639232099,35.149549508184,18.3518109390849,30.2700190919852,29.481563632484,28.4542025443442,23.962939521495,24.2264941635959,22.8141834302326,58.2339942260373,26.5988935623755,25.6486849464373,26.9528590493706,23.3123996587703,22.6721007720974,21.7246205591442,15.7741086805314,22.8660268728929,21.9627790950132,22.5338696800637,21.1263645704591,21.8388790595471,20.6309183902805,28.5549471060024,38.7929649755055,40.0194014622912,47.0177155670581,52.1403765856826,50.2716746383944,54.7193797212531,32.1250117761884,61.7186717160461,59.4602258736366,58.2742464977032,46.6376658452688,45.7883771827927,52.4031783523559,25.4884357846589,48.4735149240061,49.6161141098737,44.1242272352426,35.5583448267921,33.4585960615317,43.3392533760402
"147.12",66.6986519714533,71.2389391748138,68.8232431759112,73.256561498469,63.488783960681,63.8415751450398,63.7061857219065,163.16291098686,78.2713593934659,74.2738465767195,70.095719102141,75.2596980055341,74.5582523966933,73.5275979975988,130.500457784088,83.5912182797223,79.5766574317916,64.889313360438,57.4498875005773,53.9022294277665,58.1321952272231,79.470003460032,74.1742454398594,74.8128876986986,87.3269030314185,96.4851936602858,97.309896272075,89.5596821292286,144.430171675306,76.3277977417456,81.4025645170865,105.806206175942,91.5357929616472,91.5357929616472,82.5028629232408,253.829807869557,66.3441626109746,65.519619100154,75.5513850169255,62.2645833642116,66.7357375249189,57.3694251232485,152.709204519012,90.9784677562793,87.4048295883953,99.178586519758,83.9337073064348,82.8456541885905,78.4994985264862,69.0722394815156,67.2581921870498,66.7307560187424,70.7505187877023,71.5556135767213,70.2708238823365,69.6809707583319,50.2600257903931,79.2145750849457,77.4682279955699,82.0882348276299,69.2188976567541,70.200281804781,69.1588452706195,118.769081062005,117.460860571904,136.243044735014,122.042836351588,128.047007229242,119.35552720089,122.461934108089,95.3605043935421,124.442793138569,121.401204555161,115.596187260777,111.419489790803,106.580513247218,101.439597146087,242.429145468573,78.9349914390612,84.0151685123689,87.6034237011485,85.0688450291134,90.8297731699059,83.8266917313251,84.5420477172527,105.782609099102,103.616528535038,101.231588880239,85.8645841305689,86.1331369283242,83.0813833740502,110.728148932418,61.2865290995287,56.5608873746173,67.0899187701788,62.5750594371019,63.6780253140862,49.5385482810124,61.1448234684199,64.8145366185896,63.1608760234116,64.8750299673608,61.1365727468516,61.7135704787802,56.7653281758667,97.4350498157033,41.4659125469724,45.1322269207891,78.5442137766944,118.804306012009,116.236022261288,104.325317223538,135.240755180339,99.3864696672975,99.323588054375,121.253210602303,100.419213917403,101.122692121061,94.5073832615124,53.0361865808233,69.2921284466798,70.9854946406905,79.112152259714,70.2339928059489,67.7564171774863,67.6910162921145
"148.12",50.4127788774201,41.22157167936,39.6557002166329,40.6244634575141,32.5451446149996,30.4202493483239,31.9641071869129,72.8752036941648,39.6239622268432,38.3162938756717,38.4047812161711,34.5181409032627,34.2113130388277,34.5732232198602,60.865825611686,37.6845230427871,36.0458343602113,30.9089798805612,26.0370346689912,23.6376636981326,25.5683026968518,51.6647955078218,29.8097650702552,29.2989732660827,31.1899043291534,29.6972923700646,30.4662487285535,29.2824921919608,82.1449276328447,27.0381409193508,27.8891171399098,32.9929300998006,29.5650933147833,29.5650933147833,27.2047647189063,99.4192241231997,28.345365326933,27.8654071965884,30.2399925991418,24.9175939615456,24.6907420462113,24.4668807425678,60.582537895006,33.5942556637041,31.8891256976642,34.0987251278457,28.5860838675742,27.9447495266283,28.018636326745,50.7434534651308,30.6326178588309,30.4310880134336,31.4328588193179,29.3631849700931,28.1503353891334,29.3861589425676,39.2984058837905,30.1879980111764,30.0938334619386,30.5888567986815,25.574112666074,26.1444643712265,26.6303943792932,64.9047658012013,41.8246596942103,44.4672062038519,42.0178718074803,41.3887248301382,40.3197293162383,41.0192795087493,54.3510332706585,41.9566415972734,40.6113595701154,40.0714309224436,37.345434729151,36.9192357955349,34.7427835534785,103.34385440538,31.6244684995409,32.1575348173767,31.2590923252972,27.2881756787092,30.5317899059121,26.1355696453034,45.25872769976,37.8415195226008,37.5407913204953,36.4148679555242,30.7201554987344,31.3409363309903,30.6041231513468,56.5640435026805,28.7743284705464,27.7482948942609,31.8410715074028,27.7861931830236,27.8086673132388,24.1304772849435,38.5708404319737,24.7513398754263,24.7408775030227,26.6508636011006,24.2792129229587,24.9807199517123,22.2880757536652,58.4725086068121,23.5077724946175,24.7097245615138,32.8501709127467,35.7049346582287,35.8951052302994,33.0313687468258,92.4414345808187,32.2437711691915,30.870834045615,35.598197681139,28.6975421465182,29.0370204825733,26.8568177034665,49.5935222747697,30.5858823481191,30.2573450201546,31.4169222497809,23.1506148231134,20.9643259071881,23.8394625642877
"158.086",9.91925628023254,23.0618356935412,23.0170196009694,25.1018903517604,20.9369522689546,20.3325923144809,18.6450711943179,25.7587641495257,19.8562472383727,19.6759334285383,22.2639099638883,18.2245585349634,17.4573903154402,16.6776316124158,22.1117300653156,16.5648922197987,15.3051586637205,17.076720075059,13.5602239898274,12.233079293697,11.2853670016716,11.20832061171,30.1300639655549,29.7638629274608,32.582352394916,27.7920493398407,28.1777800233183,25.7080325754773,16.6142429624429,23.7086115904504,23.469223472676,26.4565786201929,23.0717496238114,23.0717496238114,21.1382195628376,39.3429348126635,26.7559976148559,26.788553752884,27.8580931096144,23.0950456184057,23.1639876890669,21.5594335240467,29.6316658004156,23.0009474495943,21.5313099118538,23.2282059618647,18.1004166765904,17.5158510167095,16.9184838069388,10.5668069442434,21.6125257820936,21.1134758597399,22.5836209606218,21.0188384050923,20.6076632353154,19.5708357462128,7.72194870647452,17.2593196654768,17.531395137887,17.8440280774905,14.0177402719108,14.15429205999,14.0178311141775,20.0479369532517,35.6036641132205,37.2825381917464,35.156770325248,33.1679323582824,31.7739533631504,31.9192334423587,16.7527629551481,31.5843103449807,29.7763163943509,29.0976659788983,27.1734662309195,26.5934131714242,25.5634889630149,37.0844093034808,24.3501856759099,24.4289683164385,24.0847099791255,20.6194271644324,21.7126170310433,20.5921351240473,13.8816756644194,24.7584768441829,24.506433194237,24.075253400642,21.0971579050061,21.3553428511602,20.8597701251071,21.0176172247286,22.3530966876518,21.8620147926051,22.605003342462,19.6500130549327,19.66121664757,19.0849563962497,11.4794803186057,17.9161921847069,17.8593013668011,18.6411143380056,17.5057117037,17.8165667128775,16.5989069804689,14.2574188738054,28.8762471308048,29.036655081997,33.8934306040744,30.002242734604,30.1838404332473,28.1733710388534,16.3784045794371,29.2185988724052,27.7983582824138,29.4942609636411,23.0982562697359,22.5506497826824,21.5012325641301,10.5889131448205,28.0447812015877,29.0424884028842,29.3012199082354,22.7715372698998,22.0562939794549,21.5531798217094
