"","260.186","267.187","102.152","104.146","116.105","118.148","120.141","132.125","140.122","147.12","148.12","158.086","162.172","163.17","166.108","175.1","180.135","182.128","184.146","189.1","202.1","203.107","204.1","206.121","213.1","219.077","222.091","227.099","230.089","231.011","232.008","233.004","251.117","258.12","259.09","280.1","282.15","296.113","297.035","307.1","407.12","423.1","548.399","550.417","562.376","570.373","572.391","575.401","577.45","578.45","586.369","601.45","603.45","604.45","605.45","610.386","627.45","688.469","716.4","734.5","735.5","741.5","742.5","748.85","756.5","758.653","759.55","760.647","761.668","762.6","768.5","769.666","770.662","772.606","773.6","774.68","780.6","781.5","782.55","783.6","784.6","785.6","786.6","787.6","788.6","789.6","790.6","796.598","797.62","798.6","799.638","800.635","801.6","804.5","806.55","807.45","808.6","809.6","810.6","811.6","820.5","822.5","824.5","825.5","826.55","827.55","828.589","844.5","848.5","853.6","879.65","881.65","882.65","895.6","897.6","905.7","907.7","921.6","923.6"
"Peak area - S10_GoatLiver_4 - Total Ion Count",48.1415932937778,40.1012227801457,20.9157407016011,1536.54847909322,43.8504038048249,59.7973641967954,18.904661737421,106.776982114463,41.4622690596323,134.303000673306,81.1917990027416,32.6274023652044,106.275989080389,65.0648814479373,50.8306027021334,142.095582459267,52.9867230871113,34.0140741023504,1382.82412490332,32.5702767962014,55.2681537982336,86.9304764043644,51.9637397568116,58.8184280131059,37.326661246073,97.8053488047458,97.7080449930654,66.0196443643871,248.795885638238,708.39255937285,126.867596469116,94.936140224064,125.466312399868,408.717960289891,72.5488386669534,160.467160283815,49.1557263540613,529.36380748899,90.0068823197741,66.5324073845884,49.4630175397342,51.6865019132312,20.724802860839,25.4329165095644,29.9050358383187,23.8289390716567,23.6940218310636,24.861951687936,22.776666020558,24.8566448376342,22.8581319572154,24.9014187433792,28.781070190168,27.9638200892304,31.7683455835274,21.7766594200229,42.7328430011194,63.2148379386156,48.0808508404506,47.2912872584135,30.484915320891,36.7401009162576,42.6468864649067,105.857966030902,44.1548372986004,94.7160136608728,53.8027956808946,127.429839937795,72.7260453028065,49.8335410692408,34.6604565562395,32.0030701920461,52.9792984925557,54.7527902116402,32.6703143847633,69.0782631886633,52.2452192457767,37.1868506764461,98.065204279483,49.7673103704493,54.2953531416739,32.4929517460526,80.6989889322217,48.6982176830372,78.8890725495916,47.9114021239487,36.7592722873746,96.3109016539857,56.2390750535755,190.127210796134,87.8171400387203,55.1465667565801,36.7068739507656,39.8849968302564,55.8237476135354,45.6463372428836,67.1515329792363,47.4962622545757,86.9245579856429,51.2471681963984,44.2282788521193,49.3027817063698,101.313225386026,55.2570593974367,102.924497341648,54.046333017725,45.6197384213199,39.3060611552049,63.5814633853579,30.5181077211679,22.4361677688701,22.832476853546,22.6918113814244,26.5609166493583,26.1467379227998,22.6802604900942,22.5497731933499,22.741695258507,24.1897679505688
"Peak area - S10_QCS_1 - Total Ion Count",159.486394723147,122.455956888949,41.7041065596485,36.6643935433799,37.4978657381595,42.7249001904997,17.0783508895118,37.4947616182684,31.7166558607131,84.8684714219359,41.485874365684,31.1120868379828,90.3862589323935,22.7172059974661,27.0431540294932,100.688871482611,23.2287458394423,35.5145575322572,91.7671213734257,24.7446764038686,46.8425762545114,24.3207198745896,28.5084650807134,38.2453036994004,27.9290379792587,23.2137860636003,28.4058133186093,19.1948241937873,42.2819759706858,29.7784521056509,36.0693002205356,11.0646811352305,30.5113099972928,24.4725793159659,26.5809502142895,28.6284370346993,45.6256992463253,78.4384128202932,54.4791005145256,34.9053938016369,24.5954486996964,28.3622626011278,12.2444782906211,18.354756039479,13.0709251865354,16.9319166848602,20.8362760084914,26.5005963832784,13.1975259068934,13.0663380398896,35.459510696045,16.9707600720678,15.8323227236136,16.6789787267997,21.3975498825685,23.8115172078289,25.583432702348,18.6168438584313,12.3848459319257,19.1391449835661,18.1674971384996,14.5047414414039,17.2519813365678,25.8217577661817,15.9542657822254,22.9835712225042,20.1282427592191,11.3837454383634,11.6929632182344,18.6341324697977,18.4407624208054,18.4002767039944,20.3279005861363,18.5570826303083,13.8402557457153,20.4896396355312,17.7289590569408,19.3571772193149,25.7320408918551,15.5544481280462,15.5566288636853,14.3055954906803,28.4321783175336,19.9860722756534,18.095376276949,14.2920531542114,16.0447448946937,13.1425312428609,14.559742736476,22.2002923052752,16.5795197189347,10.6255593481888,13.7068329675115,20.6193323131797,33.0353195157663,34.6579681000847,25.9139799146968,24.6086175189857,23.4481650655678,19.4597968005674,14.8193008225213,14.8870500256184,31.1558067964838,18.4079797624361,17.2335940957332,14.1534721913124,19.4547430968317,17.6534080981035,24.9784339019982,18.0130144645821,16.0074984895583,15.534279696774,14.5986529089287,21.5073740971442,22.7660006478661,16.2277205181668,16.3936300446949,16.5620174702637,17.6175588547377
"Peak area - S10_QCS_2 - Total Ion Count",143.229722217816,127.431762385003,41.8156225522843,37.0899518200578,37.9703008562268,42.4200250541717,17.1074782944343,38.490941903559,32.3422662619846,83.2672181610451,40.070088588857,30.9876626565014,89.5947406278471,23.0831662859639,27.2236219004692,101.324777075539,23.46151109196,35.6047377970343,100.502780282765,24.8896597827905,46.9579736511258,24.2548308727919,28.0633632308454,37.934004507564,28.291836050391,23.3795036563832,28.236817382798,19.2309684895278,43.3995443487885,31.2161937298073,36.8032459358122,11.3082327502514,30.5003779102159,26.0814268395276,26.4008926838355,28.1464563092187,46.5385907765316,80.2405520530201,55.2063914696982,34.9618305264815,23.7369679948547,28.1062120615555,11.4143210113461,16.4235002537072,12.7230893680078,16.0247152456241,19.5445636390386,26.2072424281922,13.0228988305085,13.0503224766384,26.6135762526499,17.0110669677341,15.9861007970556,16.9502134461536,21.2498969262067,22.6092468014694,25.0900364354027,18.4530780130811,12.3932835807833,19.1859383605132,17.982926490186,14.3635517754842,17.0131647701793,26.0016751355233,16.1022910344528,23.2742896191739,20.2217962193444,11.8635770938041,12.0184109207491,18.3845707836562,18.1272919578852,18.2260300788114,20.0733622849491,18.4498261960942,13.9926854467425,20.4073290687297,17.7467001905368,19.3049428400053,25.8066610840805,15.5303349874161,15.2132226192804,13.9726683673514,28.4583093395696,19.8196384616956,17.7958299592277,14.355731807235,15.8381295765897,13.2873825853777,14.7993660846262,22.3476476255076,16.6791299383262,10.7550228956993,13.7771730898283,20.7412056200582,32.856429556748,33.7870714145953,25.3865386286888,24.1052904969886,23.3816511119538,19.2356924898253,14.9498361677085,14.8152306611341,31.3935504077038,18.4523153212712,17.1370376805864,13.9945592757017,19.0401131038895,17.7729694257271,25.1441312210207,17.8929959161837,15.9610698597102,15.5871756263945,14.7069679343528,21.7251748908519,22.3250523631627,16.160317153242,16.233102198848,16.5070848930448,17.6014192071288
"Peak area - S10_QCS_3 - Total Ion Count",79.5060281291134,72.8009944960439,43.1020575256696,21.8280862043265,36.6911803986796,36.6210059914543,17.16325341536,32.4836146700475,29.952478231776,81.1349106525944,38.041484301853,30.7914599421269,87.5149899250397,23.0925977929804,26.5450506747488,102.556515917226,23.5154414690712,34.8488365387843,99.6178795853066,24.6012335936556,47.2693962769679,23.9853579443861,27.8218977378023,37.8109284690641,28.2857941876229,23.1643783205669,27.3038976857483,17.5416713717316,43.2423885460516,30.8883912485668,36.927567034747,11.80967299887,30.4495520610082,30.0582081436261,26.834088973679,27.6628099426691,47.1904974104747,72.3679577254736,58.1609967461241,35.1152222956144,21.9895973250263,28.0577653410204,10.9926427885382,14.9915067889873,12.0496878460511,14.9543690346504,18.4496480411995,27.1137516273427,12.8996329806034,12.9198004193732,17.4626784192933,16.6506956679931,15.8579466006307,16.7053877177193,20.7040785550066,20.0693455432466,24.2104388171855,18.3187565273002,12.1631815968465,19.2914306183505,17.6826408773844,14.4690746419464,16.7060641859448,25.7393757615287,15.9272585981408,22.8048357749616,20.1532186888164,11.774039351917,11.9061619127009,17.8502231857357,17.9391140116357,17.9346226509916,19.974244750327,17.8862030418401,13.7039344399038,20.1813221959101,17.4739870239206,18.9407113721304,25.7184320887927,15.4047994916367,15.0943464673093,13.558357023554,27.9193788914234,19.2698781912421,17.3069138786942,13.8123324803657,15.4068898050559,13.1475986017133,14.4884122067407,22.7743030075436,16.6343740490957,10.6094233566172,13.5673586964553,20.7779233890572,33.5156170676457,34.0326219041773,25.5213954380415,23.7850335039976,23.4186258527851,19.0447882295675,14.8335508370484,14.7315230442102,31.6066579259727,18.3521994175983,16.9482560890078,13.9440356439048,18.3926397925818,17.4197900058383,25.7180021781155,18.0270762492186,15.731960712677,15.3547809547123,14.6162809370422,22.2225167988657,22.4148277106042,15.8752284531796,16.2692677242117,16.3927486974673,17.4412195557386
"Peak area - S10_QCS_4 - Total Ion Count",72.777884176163,64.2804652113465,39.3911064720322,17.9671748518377,36.2456019307003,35.7233919904593,17.0018056087079,32.1893197111305,28.9591783014273,79.4474476929463,35.0153309786458,29.5217004649771,82.0562345237639,22.3009915820972,25.8710215574058,101.119560117223,23.3402888063742,33.6943893719569,99.4279345917993,23.8665889217335,46.1847322816125,23.3242105151512,26.7154752164224,36.3003666146074,29.0558258256262,22.3575448805356,26.4839653616898,17.1324293711833,41.3018806526763,29.5761192573179,35.1164882396089,11.2388995029775,29.7293470236551,30.1912891953592,25.5185773947996,27.8290255658642,45.0163071548774,67.5085185895054,56.4835119375331,35.351976004013,21.1557396707304,27.2660653902088,10.6985023721297,14.286785434217,11.5972570594962,14.2297680253896,17.3320808991685,25.9675240743615,11.9075043731325,12.5798541801166,14.0509034673487,16.2948016197334,15.9652952281131,16.5673452668208,20.244672955306,16.5999193603821,23.0858010953951,17.8951741236634,12.0975083417007,19.0261245415323,17.6158429262518,14.3273889689852,16.3073491789306,25.4630459390615,15.9415369412195,22.572553159318,20.2491235584654,11.8029793143298,11.8631681413751,17.3591966925122,17.7759936606391,17.6709978645726,19.892199484305,17.8090375162319,13.7898012654905,20.0799180806123,17.5251884220392,18.797156027304,25.6206384172825,15.0916263168011,14.6942440228312,13.3773763810382,27.1421809244976,18.9121320884714,16.4586855876449,13.453526001438,14.7962560961454,13.1751565471423,14.5663885449929,23.1412468207544,16.7150543702684,10.7366944645415,13.5151595305802,19.816656376015,32.8234988663275,32.8753182853549,25.1287671858489,23.5724849323855,23.2467143372627,18.6924325769562,14.7165953937693,14.6571166587719,31.5265293181479,18.4573752939118,16.6243118801271,13.6579469897218,18.0328354271195,17.2741231144131,26.2510903508096,18.2638899180818,15.9462064455007,15.5550245468638,14.6423295312504,21.7615626486061,22.3859283445461,15.8465215467851,16.2546263106412,16.3674522430692,17.1508632149795
"Peak area - S10_QCS_5 - Total Ion Count",85.4022419112665,75.348667404095,36.5530493549437,13.992042399539,36.0773486405011,36.071374146643,16.7368152818972,32.7361678416276,28.8486330626633,79.5500272897424,33.5925328393413,29.2043248031458,78.4145215639346,21.9243109500729,25.6584149760839,98.4493692384263,23.2926566772056,33.451045573414,101.288253076086,23.6621207397179,45.6093341854913,23.0519140797474,26.5139479433986,36.5287925192853,29.7910294099281,22.3878966237473,26.8593383451511,17.3936067254128,40.3780868388701,29.6980687408015,34.4984349808135,11.0935647734474,30.1283347050652,29.1373724964716,25.1223250398207,28.0956222409139,44.3852417842197,66.1507037832438,53.7339920195189,36.0768430225033,21.3056856168613,27.1905434119486,10.6370810144016,14.1680775613862,11.7724100174433,14.1238021610678,16.910254111497,25.5600117075101,11.5656664843213,12.2741200555306,13.2103363566291,16.3537192413379,15.8718983566978,16.3460925194738,20.4412021592819,14.306583318611,22.6735382908083,17.6108622450553,11.9677597812028,19.0484776619916,17.4563527976461,14.1405958582761,16.3434645029046,25.4304580633444,15.9049617385643,22.6764624757856,20.4326937188016,12.1082812020086,11.7014019419126,16.954514307354,17.5546086026417,17.4033004636453,19.5873766666423,17.7881723320887,13.7012659265113,20.0800612363261,17.6874714719962,18.7121717022073,25.5701197734866,15.0434016437626,14.3911459615604,13.1816875409582,26.7655917779729,18.6947547156702,16.1953970066874,13.1941358935141,14.337444906918,13.2482346926291,14.4793522196167,23.0916830925639,16.9297605760332,10.7352959724662,13.2697697290844,19.29169431132,33.0130172487098,31.8162308293638,25.18017991192,23.650567278028,23.2750809604281,18.6680136171531,14.7693971930416,14.6752372985591,31.0414455861039,18.3836115320478,16.4941057437858,13.4263659730367,17.5601987179011,17.3980187740386,25.7358802967751,18.1233525994798,16.0403946146053,15.7150818067865,14.6799935352215,21.3391568745007,22.6803966242376,15.6975614773976,15.9855924242674,16.1468819836712,17.1534921102265
"Peak area - S10_QCS_6 - Total Ion Count",150.784678647136,139.331534471676,36.8472898002523,31.2443471750941,37.9991062793431,41.497875634711,16.7199886985503,40.3179250863535,32.8693877917636,79.9542947282942,34.6930711192644,28.5532912857351,79.4600466316399,21.6328874902211,26.2230706290541,96.4028996360534,23.2903192095984,33.4619364614736,100.711904649452,23.8274852326421,44.9515045888211,22.7692533342478,26.9358143530765,35.3519719280862,30.5735406921641,21.766916106478,27.0206648740076,18.7482553614526,40.8638806738574,28.4284618348833,35.6036317870062,10.5171853214384,29.5123258588154,27.9050025081738,24.9087200608337,28.6959464174293,46.4152929522514,72.0512147861185,55.5225053261708,36.4346999297033,21.6087748587808,27.262010503156,10.6633382674519,14.4002147730692,11.799903355324,14.2535368288366,17.2673974785297,24.6552171505875,11.4487569611948,12.2103098546677,15.5609884084454,16.4609074753631,15.9540484920408,16.586412476451,20.4337971382168,18.1589786656602,23.6606026073322,17.5996852704732,12.1624750947354,18.9476575774816,17.5341817314212,14.2477857027584,16.2823083678503,25.6737451765186,16.0547480932348,22.787812293405,20.5512648924748,12.10170985524,11.919158332038,17.1004363143752,17.3001312723817,17.382234521593,19.5240837374141,17.8051938880431,13.6216062603732,20.1322075548954,17.4602415403609,18.8667766095754,25.638464531416,15.1472259131484,14.5792147203776,13.183536279879,27.0810446099707,18.9182175864954,16.470757239561,13.3309077249168,14.601677443447,13.2283563707311,14.4336379576835,23.2224802864875,16.7538503510294,10.6086560573937,13.4547753096182,19.4572713757591,31.8167937781266,32.3641711125209,24.2331276118902,23.0412961791222,22.8657136610784,18.6482763913551,14.8160704702863,14.8329382350339,31.3082953928967,18.0617889691574,16.6691850591346,13.3540363793374,17.8117314990432,17.4278239390448,24.9835738955168,17.9281054548786,15.8233805527758,15.4822823778418,14.3660829755496,21.458240881579,21.9932165689712,15.5792253682935,15.923020510352,16.1070817833739,17.1643076881394
"Peak area - S11_ChickenLiver_3 - Total Ion Count",54.8664372901084,46.4238058166722,73.4621757491373,1985.01688530949,119.484629203116,180.294988475505,51.2357696884575,123.945947664796,110.93722254018,202.244155691429,95.2860323769043,47.9182553210953,134.825786537492,49.5024882096109,93.1013680476358,463.428326470189,55.5386705652184,49.3404722055796,1294.38710350675,51.0235023330861,63.3377053047025,132.543950810775,92.7887184712121,64.3227452768577,55.8282884081168,46.6176240716763,81.0167743985856,26.5224232968063,186.815302049332,462.762327571681,82.4557616510244,64.43259178383,31.8274028442016,27.8617081704833,30.2497290719766,27.859424597011,117.639356091723,67.395831568922,44.1730807939525,34.6667043127205,46.3123348143123,41.8214627932473,20.4809972221916,24.3973908333703,23.8546877566593,19.673833268833,19.3583422849526,23.0828604208502,16.0389397138316,19.718069556222,16.2718524972509,21.0648910079506,26.8778087316339,26.2876950454304,23.4408389781466,19.0293077459604,40.9056958202093,42.2538267453887,35.8605017296285,51.9154084684213,30.9703557399175,37.9149372996762,38.2123638430747,48.0550111982805,40.0656088744164,89.9363790537988,54.1199595843573,55.8676375192843,29.6767092728946,33.781222058467,26.6176240142991,30.0164079982111,38.3054415447464,45.4065133509127,28.9930616130076,52.574134094566,49.657142220184,38.4001973853005,75.708240079075,43.5161575291116,38.9982074475027,26.667809576631,83.95019295834,51.3124063100491,40.231689977855,28.1957858178851,27.2814866766381,62.4431362594494,41.0189810620615,73.0098540370749,39.7629267444161,29.6101668661368,25.4191135056547,37.401620495701,47.251125213553,39.5332589571308,55.2684542704177,44.2378261082798,61.908972088199,39.8375164825033,40.0276477255182,34.1033299104196,79.6109300327808,43.9196085263297,40.5822363034441,24.4447491128109,28.6698865512297,30.367807095234,50.0696196139651,23.3998735706451,22.367109917496,22.5001893741374,22.280929374403,26.7453592809402,25.5271956721638,22.3667366511223,23.0827622793529,23.2369072497909,23.8881116971318
"Peak area - S11_QCS_1 - Total Ion Count",132.001286181025,105.252287464166,35.2084496180798,12.904653941175,35.3656191619554,40.7290991456704,16.083209377865,37.3835426404034,28.2349508825185,87.4152404800254,39.2232432690903,29.5218707224612,78.2712733794422,21.8843952040383,26.8174154266463,96.5175186487756,24.5145803488589,35.4299861372759,107.004496707867,24.6708998213735,46.0021905274125,22.4768566917221,26.942391602852,36.7253685292566,29.9428874473065,22.2873493492734,26.9728034839948,17.5577971126349,39.4899002301868,27.3531532062875,33.2877174572193,9.81069136266313,30.286237929917,29.2207255273049,25.6119053480462,30.9429083744212,43.9684690567854,72.0749774993273,55.4654677860123,36.6140436182485,23.659091038345,28.3654826617739,11.5008321063778,15.0569197581964,12.8069169549584,13.7243105180926,16.9776704497708,24.0448807869563,12.0443397021037,12.3036095170112,13.9251106383739,16.4818699292441,16.2160603360111,16.3367246937485,20.3072667617094,13.9000490547991,25.4199946065956,18.2715013995574,11.9881511309348,18.7594165520488,17.0939152232512,13.631608570469,16.3654043693305,26.0260922619113,16.1628692916425,23.5478987369387,20.7048930561762,13.4185671506358,12.4944744281586,17.8486223936283,18.2741798939181,18.327386479284,20.2747034017371,18.2870308652209,14.4042109642395,21.0076092390452,18.2387525322539,19.9909244690315,26.9651523632646,16.5599823447603,16.3353683144681,14.8874781635091,28.9659360665381,20.6416128106527,18.081922893327,14.8565840681339,15.9937648943202,13.8838566756374,15.0769028511477,24.37186754774,17.7508132189732,11.5000374413514,14.029247247065,19.8182797296821,33.1062509776073,32.9497864691054,25.7096333611618,25.1937720432204,24.0721457340429,19.7934593159704,14.9902122556958,14.9794169094197,31.3459305055111,18.6146520146882,17.5366000061187,14.245124637563,18.7876484829426,17.2948005776302,26.7130649976028,19.0427108148606,16.6603064153682,16.1696816043153,15.2674701938025,22.0314952907645,22.4318042476534,16.9874388800018,17.5110976138713,17.221622373598,18.0766950862685
